,Unnamed: 0,Unnamed: 1,Unnamed: 2,RID,smiles,fragment_fp,fragment_fp2
0,93,,,R591,*N=P(Cl)(Cl)N=P(Cl)(Cl)N=S(*)Cl,00000000000000000100000000001000000000100000010000000000110010100000000000001000010000000000000100010000000000000000100001100000000010010000001100000000000000001010000001000000000000100101000000000000000000000000000000001000000000000010000011000000000000000000000000000001001000000000000001000000000000100010001100000000100000000000000000000000000000010001000000000000100000000000000000100000010100011000000000011001000010100000000001100000000001000010000000001001100000000000010100000000000000000000000000010100000000000000000010000000010001000000000000000001000000100100000000101000000000010000101010000010101000000000000000000000000100000010001001101100001000000000010100000000000010101000000010000000000000000100000100000010001000000010000000001000000001010000000011000000000000000000000000010001000000000000000000000100000000000000000000000001000000100000000110000000000000100000000000100011000000000000000000000000000000000100000010000000010000000100000000000001010100000100001000101000000000000000010000000000000001001010001000000100000001000000001010000000100000100010000000000001000100000000000000000000110000100000000000010000010000000000000000100000000000000000001000000100000000001000000000000100000100000001000000001000100000000010100010000000101000000000000001000000000000001010001000100001000001110000000000000000000000000000000000010100000000100100000010000000001000000010000000000100100010000000001000100000000000001000000110000000000000000100000100000000000001000000100001100000000000000000010000001001101000000000100101011001000010000000001100000000000000000000000100100100000010000100000000000000000000000000000101010000000000110000000000001000000010000000000000000101001000001000000000000010000000100010000100000000000100100000010000100010000000000001000000000000000000100000000110000000000000000001100000000000000100001000100000100001001000100000001000100000000000000000000100000001000000000000000100000000100100010000000010110000000000000000100000000000000001000000000000101000000000000000100001000100001000000000000000100000,"[2, 13, 0]"
1,186,,,R831,*N=P(*)(OC)OC,00000100000000000000000000000000000001000000000000000000100000000000000000001001000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000100000000000000000000100000000000000000000011000000000000000000000000001000000000000000100000000000000001000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000100000000000000000100000000010000100000000000000000001000000011000000000000000000000000000000000100000000000000000000000000000001000000000000000000000000001000000010000010000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000001000000000001000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000001000000000000000000000100000000000000000000000000000000000000000000000000000000000000000001000000000000001000000100000000000000000000001000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000001000000100000000000000000000000000000000000000000000000000000000000000000100000100000000001000000000000000011001000000000000000000000000000000000000000000000000000000000010000000001000000000000000000000000100000001000000000000000000000000000100000000010000000001000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000110000000000000010000000000000000000000000000000000000000000000000000000000100000000000000000000000100000000000000000000000000000000000000000000100000000000001000010000100000100000001000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000001000000000000000000000000000000,"[2, 8, 0]"
2,187,,,R832,*N=P(*)(O*)O*,00000000000000000000000000000000000001000010000000000010000000000000000000000001000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000100000001000000000000000000000000000000000000000000000000100000000000000000000001000000000000000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000000000000000000001001000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000001000000000000000001000000000100000000000000000000000000000001000000000000000000000001000000000010000010000000000000100000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000001001000000000000000010000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000010000010000000000010000000000000000001000000100000000000000000000000000000000000000001000000000000000000000000000000000000000000000001000000000000000000000000000100001000000000000000000000000000000000000010000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000100000000000000100000000000000000000000000000000000000000000000100000000000000000000000000001001000000000000000000000000000000000000000000000000000100000000000000001000000000000000000000000100000000000000100000000000000000000000000000000000000001000000010000000000000000000000000000000000000000000000000000000100100000000000000000010000000000000100000000000000010000001000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000100000010000000000001001010000000000100000001000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000100010000000000000001000000000000000010000000000000,"[4, 8, 0]"
3,188,,,R833,*N=P(*)(NCC)NCC,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000000000000001000000000011000000000000000000001000000000000000000000000000000000000000000000000000000000000001000000000000100000000000000000000000000000000000000100000000000010000000000000100001000000000100000000000000010000001000010000000000000100000000000000000000000100000000000000000000000000000100000000000000000000000010000000000000000100000001000000000000000000000000100000100000000000000000000000000000000000000000000000000010000000000000000010000010000000000000010000000000010000000000100000000100000000000000000000000000000000000001110010000000000000100001100000000000000000000000000000000000000000100000000000100000010000000000000000100000000100000000000000000000000000000000001000000000000000000000000000000010000000001010000000000000000000000000000000000000000000000000000001000000000010000000000000000000000000000010000000000000000000000000100000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001000010000001000000000000000000011000010000000000001000000000100000001000000000000000000000000000100000000000000001000000000000000000000000000010000010000000000000000000000000000000000000001000000000001010000000000000010000000000000000000000001100000000000000000000000000000000000000000000000000100001000100000000000000000000000000100000000000000000000000000000000010000000000000000000000000000000000000100000000001010000000000000001000000000000000000000000000000010000000010010001000000000010001000100000000000000000000110000000000000000000000000010100000000000100000000010000000010000000000001000000000000000000000010000000000010000000100000000000000000001000000000100000000010000000000000000100000000000000000000010000000000000000000000000010000000001000001000000000000000000000000000000000010000000000000010000000010000000110000000000000000000000000000000000000000000000010000000000000000000010000000000001001000000000000000000000000000001,"[2, 10, 0]"
4,189,,,R834,*N=P(*)(N(C)C)N(C)C,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000011000000000000000000001001000000000000100000000000000000000000000000000000000000000000000000000000000010000000000000000000100000000100000100001000000000000000000000000001000000000100000000000000010000001000010000000000000000000000000000000000000100000000001000000000000001000101000000000000000000000010000000000000000100000001000000010000000000000000000000100000000000000000000000000000000010000000010000000000000000000000000010100010000000000000010000000000000000000000000000000000000000000000000000000000000000000001110010000000000000000001100000000000100000000000000000000000000000100000000000000000010000000000000000100000000100000000000000000000000000000000001000000000000000000000000000001000000000001010000000000000000000000000000000000000000000000100000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000010000000000000000000001000001000010000000000000000000000000001000000000000000001000000000100000001010000001000000000000000000000000000100000001000100000000000001000010000000000010000000000000000000000000000000000000001000000000001000000000010000010000000000000000000000001100000000000000000000100000000000000000000000010000100001000000001000000000000000000000000000000000000000000000000000000010100000000000000100000000000000000000100000000001000000000000000001100000010000000000000000000000000000100000000001000000000010000000100000000000000000000110000000000000000000000000010100000000000000001000000000001010000000000001000000000000000000000010000000000000000000100000000000000000001100000000000000000000000000000000000100000000000000000000010000000000000000000000000010000000001000000000000000000000000000000000000000010000000000000000000000000000000010000000000000000000000010000000000000000000000010000000000000000000010000000000000001000000010000000000000000000001,"[2, 10, 0]"
5,190,,,R835,*N=P(*)(N1CCCCC1)N1CCCCC1,00000000000010000000000000010000000000000000000011000000000000000000000000000000100100000000010000000000000001001000000000101000001000000000011000011000000000000001001000000000000110100010000000000000000100000010000100000000101010000000001110010000000000000000000100001000100000100011000000010000000000000110001000000000100000010000000011000001000010001100010000100000000001000000000000100001000001000000001000001000101000000000000010000000110000000000000000110100001000000010000000010010000100000100000000000010000000010101000000110000000010000000010000000100010000010100010000100000000010100001000010001010000100000000100000000000000000000000000000001011001111010000000000000100001100000000000100110001000001000000000100000100000001000100000110000101000010000100000000100001001011001000000001000100000001000000000000000000000000001001010000101001010001000000000000000000000100000000000000000000100000001100000000110000000001000100000000000000010000000000000010100000000100010100000001001000100010000000000100010000000100000000000000000000000000000000000100000001000000000010010000000000000000000001000001010010000001000000000000000000011000010000010000001000010000101000001010000001000000000000000100100000000100000001000100000000010001000010010010000010000000000000010000000010000000000000001010001001001110000000010000010000000000000000000100001100010100000000000000100000010000000000000000010000100001000100001000010000000000000001100000000000000000000000000001000010110000000000000100000000100010000000101010000101010000000000000001110000010000000000010000010000010000101010011001010000000010001010100000000000000000000110010000000010000000100100010100100000000100001000010010011010000000100001000100000000001000000010000000000010000000100000000000000000001100000000100000000010001000000000000100000000010001000100010100000000000000100000100010001000001001001000000000000100000000000000000000010100000100000010000000010001000110000000000001000100000010000000010000010001000010100000001000000000010000000000001001001000010000000000000010000001,"[2, 16, 2]"
6,191,,,R836,*N=P(*)(Nc1ccccc1)Nc1ccccc1,10000000000000001100000000010000000000000000000000000100000010000000000000000000001000000000000000000001001000000000000000010001000000001000001000000000000000000101010000000000000100000000000000100000010000111000000000000000000000000000000000000100010010100000000000000000000110100000000000000010100000000000001001000100100001000010000010000001000010000000000000000000000010100000010010100010000001000001000000000011000110000000001001010000000100000000000001000000000100000000100000000001000000000010000000010000000000000000001000000000000000000011000010001000000000000010010010001000000001000000001000000000000000000000000000100000100000000000000100010000001010110000001000000000000100010001000001000100000110000000000000000101000010000000000100000000000000000000000000100000000000000010000010110010000000000000100000010100000000000000000000100000000010000000000000000000000000100000010000000000011000000000000011100000000000000000000010000000000000000000000000100100000100000000000000000001000000000000010100000000000100000010011000000000010100000000000001100000110000000000000000000000010000001100000011010000000010000000001000000000000000100001000000001000000010100000101000001000000000000000000000000001000000000001000000000000000000000000100000010001000000000000001000100001001100010000001000000100101001000000000000010100000100000000000000010000000010000110000000000010000000000100000000011000100101101000000000001000001000000011000000000110000000000000000000100000000000000000010000000000100000000010000000000001000101000001000001000000000000000100100000000000000010000000100000001000000010000000100000000000000010000000101011000001000000000000010100000000100010000000000000000000000000000001000000000000000110000010000000000000000001100100000000100000001001000000101000010000100000000000000100000000001000100000110000000000000001000000010000000000001000000001000000000001000000100100000000000000010100100001000000010010000010000000000010000000100000000000000000000000000000000100100010000011011000000000000001000101010000000000110010000000,"[2, 18, 2]"
7,192,,,R837,*N=P(*)(Cl)Cl,00000000000000000010000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000010000000000000001000000000000000000000000000000000000000000100001000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000010000000000000000000000000000000000000000000000000000000000000000000010000000000000000000100000000000000000000000000000100000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000100000000000000000000000000000000000010000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000001000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000100000000000000000000000000000000100000000000000000000000000000000000100000000000000000000001000000000000000000000000000000000000000000100000000000000000000000000100000000000000000000000000000000000000000000000000001000000000000000000010000000000000001000000000000000000000000000000,"[2, 6, 0]"
8,193,,,R838,*N=P(*)(F)F,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000100000000000000000100000000000000000000000000000000000000000000000000000000000100000000000000000001001000000000000000000000000000000000000000000100000000000000000000000000000001000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000001000000001000000000000000000000000000001000000000000000000000000100000000000000000000000000000000000000000000000000000000000010000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000001000000000001000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010100000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000100000000100000000000000000000000000000000000000000000100000000000000000000000000000000000000000001000000000000001000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000001000000000000000000000000000000,"[2, 6, 0]"
9,194,,,R839,*N=P(*)(C)C,00000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000001000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000100000000000000000000001000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000001000000000000000000000000000000010000000000000000000010000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000000000000010000001000001000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101000000010000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000010000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000010000000000000001000100000000000000000000000000,"[2, 6, 0]"
