,Unnamed: 0,correction,RID,smiles,fragment_fp,fragment_fp2
0,0,,R90,*C(=O)O,00000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000010000000000000100000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"[1, 4, 0]"
1,1,,R251,*CC(*)C(C(=O)O)C(*)C(=O)O,01000100000101000000000000000010001010000000000000000001000101000110010100001000000000000000000000010000000001110000010000000000000000000000000000001010000010000000000000000100000000011000000100000010000000000000000000000001000100000010010000000100001001001000110000000000000010001000000000100000000000010000010110001000000000000000000011010100000000000001001000000110001000010000010000100000000000000001110000000001000000000010000010000001000000000100010001001000000000000000000000000000000000100000000000000000000000100010000000000100000000000010001000000000001000001000000010101100000000000000010000000000000001000000010000000010000000000000010000000000100000000000110000000001000000010010010000000110000001000001000001001000010010100000000000100000010000000000001000000000000010000000100000010000000000000000000010100001100000000000101000010010001111111000001000000000000100000010001000000000000000000001000001000000000011000110000000000000000000000000101000000000000000001000100000000000011010011000110001100010010000000000000000001001000000000000010100100000000000000001000001000000000000001010000000000000000000111100100001100000000000000010000001000000000000000100001000000001000101000001010001000111010000000000000010000000010000000001001010001000000010000000001000000000100010010000110000000010000010000100000000000100010000001011010000100000000000100010000010000100001000000000000100000000000001000010001001000000000000000000000010000001000000000100000100000000000000000000000000000000100000010000000000000000000000000010000100000000000000010000000100000000000000010000000000000000100010010000000001011101000000100000000110000000010000010000000010001010000000000010010001000000001000000000000000000000001101000000000010000001000000000000000000000000000000000000100010000100000000000000001000000000000001000100000010011000010101110000000010000000000000000000000011010000000100000000000010010000010100011010000000100001000000100000000000000001000110000000001010010000010000100000000000000110000001000000000101001000000000000010100000000000,"[3, 13, 0]"
2,2,,R264,*CC(*)C(=O)O,00000000000001000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000100000000000000000000000000000000000000000000011000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000010000000000000001000000000001000000000000000000000000000000000000000000001000000000000010000000000000000000000000000000000000000000100000000000000000000000000000000000010000000000000100000000000000000000000000000001000000000000000000000100000000000000000000000000000000000000000000000000000000000000010000010000000000000000000000000000000000000001000000000000000000000000000000000001000000000000000000000000000000000000000000100000000000000000000000000000000001000000000000000100001000000001000000000000000000000100000000000000000010000000010000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000010000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000100000000000000000000100000000000000010000000000000000000000000000000000000000000000000000000000001000000000000000000100000000000000010000000000000000000000000010000000000000000000000000000000000000001000000000000010000000000000000000000000000000000000000000100010000000000000000000000000000000000001000000000000001000010000010000000000000001000000000000000000000000000000000000000000000000000100000000000000010000000000000000000000000000000000000000001000000000000000100000000000000000000000000000000000000000000000000010000000000000,"[2, 7, 0]"
3,3,,R282,*CC(*)(C)C(=O)O,00000000000001000000000000000000000000000000000000000001000000000000000000001000000000000000000000000100000000100000010000000000000000000000000000000000000000000000000000000100000000001000000000000000000000000000000000000000000000000010000000100000000000000000000000000000010010001000000000100000000000000000001000000000000000000000000011000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000001000000000000010000000100000001000000000001000000000000000000000000000000000000000000001000000000000010000000100000000000000000000000000000000000100000000000000000000000000000010000010000000000000100000000000000000000000000000001000000000000000000000110000000000000000000000100000000000000000000000000000000000000010000010000000000000010000000000000000000000001100000000000000000000000000000000001000000000000000000000000000000000000000000100000000000000000000000000000000001000000000000000100001000000001000000000000000000000100010000000000000010000000010000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000010000000001100000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000010000000001000000000000000000000000000000000000000001000000001000000010000000000100000000000000000000100000000000000010000000000000000000000000000000000000000000000001000000000001000000000000000000100000000000000010000000000000000000000000010000000000000000000000000000000000000001000000000000010000000000001000000000000000000000000000000100010000000000000000000000000000000000001000000000000001000010000010000000000000001000000000000000000000000000000000000000100000000000100000000000000010000000000000000000000000000000010000000001000000000000000100000000000000000000000000000000000000000000000000010000000000000,"[2, 8, 0]"
4,4,,R336,*CCCC(*)(C)C(=O)O,00000000000001000000000000000000000010000000000000000001000101000010000000000000000000000000000000000100000000000000010000000000100000000000000000001000000010000000000000000100000000000000000100000010000000000000000000000000000000000010000000100000000000000000010000000000000000000000000000000000000000010000011100001000000000000000000011000000000000000001001000000000001000000000010000000000000000001000000000000000000000000010000010000001000000000000010000001000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000011000001000000000100000000000000000000000000000101001000000010100000000000000000000000000000010000000000000000000000001000000000000010000000010000001000000000000000000000010000000000000000001000000000000001000000000000010000000000000010000000000000000000010000000100000000000000000000000001000111100000100000000000100000000001000000000000000000001000001000000000001000110000000001000000000000100000000000000000000000000000000000000010000010100000000000000010000000100000000000001100000000000010000000000000000000001000000000000000000000000000000000000000000100000000000000000000000000010000001000000000000000100001000000001000000000000000000000100010000000000000010000000010000000000001010001000001000000001000000000000000010000000000000000000000010000100000000000000010000000001000000100000000000000010000000000000000000000000000000000000000001000000000000000000000000000000000010000000000000000000000100000000000000000000001000000000000000000000000000000000000000000000000100000000000000010000000000000000000000000000000000000000000000000000000001001000000000000000000100000000000000010000000000001000000000000010000000000000000000000000000000000000000000000000000010000001000000000000000000000000000000000000100010000000000000000000000000000000000001000100000010010000010000101000000000000000000000000000000011000000000000000000000100000010000100000000000000100001000000100000000000000000000110000000000010010000000000100000000000000000000000000000000000000000000000000010000000000000,"[2, 10, 0]"
5,5,,R341,*CCCCCC(=O)O,00000000000001010000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000100000010000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000010000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000001000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000001000000000000000000001000000000000000000000000000000000001000000100000000000000000000010000000100000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000100000000100000000000000000000000000000000000000000000000000000010000000000000000000000010010000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000100000000000000000000000000000000001000000000000000000000000000001000000000000000000000000000000000000000010000000010000000000001010000000000000000000000000000000000000100000000000000000000010000100000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000010000000000000000000000000010000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000100010000000000000000000000000000000000001000100000000000000010000000000000000000000000000000000010001100000000000000000000000001000000100000000000000000001000000000000000000000000000000000000000010000000000001100000000000000000000000000000000000000000000000000010000000000000,"[1, 9, 0]"
6,6,,R672,*C(*)(C)CCC(=O)O,00000000000001000000000000000010000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000001000001000000000100000000000000000000000000000000100000010000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001010000000000000000000000000000000010000100000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000001000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000001000001000000000000001000000000000000000000000000001000000000000000000000000000000000000000000000000000000010000000001000001000000000000000000000001000000000000000000000000000000000000000000000000000000001000000000000000000000000000010000000000000000001000000000000000000000001000100000000001000000000000000000000100000000000000000100000000000001000000000001000000000100000000000000000000000000000000000000000000000000100000000000010000000000000001000000000000000000000000000000001000010000000000000000000000000001000000000000000000000000000000000000000000100000000000000000000000000010000001000000000000000100000000000001000000000000010000000000000000000000000010000000010000001000001110000000000000000000000000000000000000000000000000000000000010000100000001000000000000000001010000000000000000000010000010000010000000000001000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000010100000010000000000000000010000000000000000000000000000000000000001000000000000010000000000000000000100000000000000000000000100010000000000000000000000000000000000001000100000000000000010000000000000000000000000000000000000001000000000000000000000000000000000100000001000000000001000000000000000000000000000000000000000010000000000000100000000000000000000000000000000000000000000000000010000000000000,"[2, 9, 0]"
7,7,,R719,*C(=O)C(*)CCC(=O)O,00010000000001000000000000000010000010000000000000000000000001000000000000000000000000000000000000000000000100100000000000000000000000000001000000001000000000000000000000000000000000000000000100000010000000000000000000000001000000000010000000000000000000000000010000000000000000000001000000100000000000010000000000001000000100000000000010000100000000000000001000000000001000000000010000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000100000000001000000000000000001000001000000000100000000000000000000000000000000001000000000000000000000000000000000000000000000000000000010000000001000000000000000000000000000001000000000000000000000000000000000000000000000000000000001000000000000000000000000000010000000000000000000000000000100000000000001000000000000101100000000000000000000100000000000000000000000000000001000000000000000001000100010000000000000000000000000000001000000000000000100000000000010000010000000001000000010000000000000000000001100000000000000000000000000000000001000000000000000000000000000000000000000000100000000000001000000000000010000001000000000000000100000000000001000001000000010000000100000010000000000010000000011000000000001010000000000000000000000000000000010000000000000000000000000010000100000000000000000000000001010000000000001000001010000010000000100000000000000100000000000000000000000100000000000000000001000010000000000000000000000100000000000000000000000000000100000000000000001000000000000100000000000000000000000000010000000000000000000000000000000000000000000000000000000101100000000000000000000100000000000000110000000010000000000000000010000000000000000000000000000000000000001000000000000110000001000000000000000000000000000000000000100010000000000000000000000000000000000001000100000011000000010000010000000000001000000000000000000011000000010110000000000000000000000100000000000000000001000000000000000000000000000000000000000010000000000000100000000000000000000000000000000000000000000000000010000000000000,"[2, 10, 0]"
8,8,,R740,*C(=O)C(*)(CC(=O)O)CC(C)C,01010100000101010000000100000000000000000000000000000000001101110110010100000000010000000000000100000000000001100000000010000000100000000001000000001000000010100000000000000110000100000000000100000010000000000000000000000001000000000000010000000100000001000000000000000000000010001001010000100000000000010000001010000000001100000000010010000000000000000001000010000100001000000000010000100000000001000001000000000000000000000100000000000001000000000110000000000100000000000000000001000000000000100010100000000000000000000010000000000000000000001010000000000000001000001000000000101100000000010000100000000000101001000000000000000000010000000000000000000010000000000000110000000001000000010000000000000010000001000000101001000010011010001000000000000001000001000000001000000000000000000000100000010000000100000000000000000000100000000000001000010010001001100000100100010100000100000010001000000000000000100001000001000000000000001110000000001000000000000100000000011000000000000000100000000000011000010000000100000000010011000100000000100101100000000000110000100000000000001001000000000000000000001100000000000000000000110000100000000000000000100010000001000000000000000100000000000001000001000001010010000101000001000000000111000000010000000000001010001000001001001000001000000000100000000000111000000010000010000100000000000100000000001001110000001000000000111010000010000100101000000000000100000100000001000010000000000000000000011010000000000000000000001100000100001100000000000000000000000100000000010001001000000000000100000000000000000000000010011000000000000000000000010000000100000000000000000000000001100100000100100000000110000000010100011000000000000000000000000010110001000000000010000000000000000000000001000000100110000001000000000001000000000000010000000000100010000000000000000000000000000000001001000100000010111000010000010000001000000000001000000000010001010000010110010100000110011010000100011100000010000001000000000001001010000011000010000000001010000000000001100000000000001110000001000000000100001100000000000010000000001000,"[2, 13, 0]"
9,9,,R933,*CC(*)C(C(=O)O)C(*)C(*)=O,01010100000101000000000000000000000000000000000000000000000001000110000100001100000000000000000000010000000001110000010000000000000000000001000000001000000011000000000000000100000000011000000100000000000000000000000000000001000100000010000000000100001001001000100000000000000010001001000000100000000000010000000110000000000100010000010010010100000000000001001000000110001000000000010000100000000000000001010100000001000000000000000000000001000000000110010001001000000000000000000001000000000000000000000100001000000000100000000000000000000000001010000000000000001000011000000000101100000000000000010000000000000001000000000000000010000000000000010000000000000000000000110000000001000000010010000000000110000001000001000001000000010010100000000000100100010000000000001001000000000000000000100000000000000000000000000010100001100000000000101000000010001111110000001000000100000100000000000000000000000000000001000001000000000000000110100000000000000000000000101000011000000000001000100000000000011010011000110000100010010000000000000000000101100000000000010000100000000010000001000001000000000000001010000000000000000000111100100000100000000000000010000001000000000000000100000000000001000101000001010001000111010000000000000010000000010010000000001010000000000010000000001000000000100010000000101010000010000010000100000000000100000000001011010000000000000000101010000010000000101000000000000100000000000001000000001000000000000000000000000010000001000000000000000100000000000000000000000000000100100000010000001000000000000100000000000000000000000000010000010000000000000000010100000000000000100000010000000001110101000000100000000110000000000000010000000010001000000000000010110001000001000000000001000000000000000101000000000110000001000000000000000000000000000000000000100110000010000000000000001000000000000001000100000010011000010001010000000000000000000000000000000001010000010110000000001010010000010100011010000000100001000000100000000000000001001110000000001000010000010000100000000000000110000001000000000001000000000000000010000000000000,"[4, 13, 0]"
