,Unnamed: 0,correction,RID,smiles,fragment_fp,fragment_fp2
0,0,,R87,*NC,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000001000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,"[1, 3, 0]"
1,1,,R88,*N(C)C,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000001000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,"[1, 4, 0]"
2,3,,R310,*N(*)C,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000001000000010000000000000001000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,"[2, 4, 0]"
3,4,,R503,*c1ccc(N=Nc2ccc(*)cc2)cc1,00000000000000000000000100000000010001000000000000000000000000010000000001000000000000000000100000000001000000000100000000000000000000000000000000000000010000001100000000000000000000000000000000110000000000000000000000000000010000000000000000000000000010000000000000000000000010000100000000000010000000000000000000000000000000000010000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000010011010000000000000010000000000000000000000000000000000000001000000000001000000000000000010000000001000000000010000010000000000000000000000000010000000000000000000000000000000000000000000010100010000001000000000000000100000000010000000000000000000000000000000000100000010000000000000000000000000000000000000000000010000000000000110100010000010000000100000000000000010000000000000000000100000000000000000000000100000000010011000110000000000000000000000000000000000010001101000001000000100000100000010000000000000000000000000000000000001010000001000000000000000000000010010000000000000000000000001000000000000000000000000000000000000000001000000000000000000010100000000001000000000000000000000000000000001000100011000000000000000000010000000000000000000000000000000100000000100000000100000000001010000000000000000101000000001010000010000000100000000000000000001000000000000000000000000000100000000000000000000000000000000000000100000000000010000000000000000000010000000000000101000000000100000100000000000000010000000000000000010000100000000100000000000000001000000000101000000000000000000000000000100000000000000000010000000000000000010000000000000000001100000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000001000000000001000000000000001000000001000000000000100000000000000010001000000000101000000001000000000100011000100000100000000100000000000000000000000000000000000001000000000100000000000100000000000000011100000000010000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000100000000000000010000001000,"[2, 16, 2]"
4,5,,R536,*ON(C(F)(F)C(*)(F)F)C(F)(F)C(F)(F)Br,01100000000001100000010111100000000000101111000010000101010000001010000011000000010000011010001100000010000101001000001100000010000010000000011100100011001100000000111010100000001000001000000001100000000000111000110000000001010100001001000110111001000000010000001001000000000100100010110000010000100000000010001101000000000011011010010001000000010001000000100000000000011000100000001101001010000000000000000010011000000001000000010000000000101000000010000011011010100000000100000000001001010100011000010010000111011000000010001010101000000000001001010011000000000001000001001100000000000010000101010000110001010000000101000100010001000000000000101000001011000100000001000010000000000110000000000010111000010000001001000000011100000111101000001100100000000000000100001101000000000010010000101011101000010000010101001000000000011110001000000000100100000010000010110010110001010000011111010100011001101011010010000001011000101000010011100010000000001101001110011000011000000000100000000001001010111001001000001100000000110000101001010100010000000100000101000100001000101000001000011000001100101101000011001001001000000011000001100000000000011010100010000000001001100000101000000000010010110000111001001011000100000100000000110010000001011010000001000100011110000111010001000000011001000000110000010110100001000010010010000000000110100001100010100000000001010100101000001101000000100000010001010100011000000000110000011000110000000000001110000101010000000000000110000101100100000000100000100100001100011000000010111100100010000000000000000101000000100000010000001000000000000101000001000100000000001000100001000100110000000010010010000100010000001000100100111100000000100001010111010001000100100001000000000010000010001000100010000100000001000011111010111000000100100100100001100000101000110010101001100000000001000101000101000000000100000001000100001001011000001110000001000100010000000110001100001010101000000001000000010000000000010000001011000000000001100011101001010000011000000000100010000000100100100010000000100100001010000001001010100100010011,"[2, 17, 0]"
5,6,,R537,*ON(C(F)(F)F)C(F)(F)C(*)(F)F,01100000000001001000000100100000000000101110000010000101010000001010000001000000010000011000001000000000000001001000000100000010000010000000010100100001000100000000001000100000001000000000000000000000000100011000100000000000000100000001000000101000000000010000001001000000000100100000110000010000000000000010001000000000000011000010010101000000010001000000100000000000010000000000001101000010000000000000000000001000000000000000000000000000000000000000000000000010000000000100000000000011010100000000010010000011000000000000001000000000000000000001010010010000000000000000001000000000000010000001100000010000010000000001000100000001000000000001101000000010000000000001000010000000000010000000000010110000000000000001000000011100000001101000001100000000000000100100001100000000000110010000100001101000000000000101001001000000011010001000000000000100000010000010110000010001010000011011000100010000100011010000000000010000001000010111100010000000000001001100011000011000000000100000000001000010101000001000000000000000010010101010000100010000000000000101000100001000001000000000010000000000101000000000000001001000000011000001000000000000000010100000000001001000100000100000000000010000110000011000001011000100000000000000110000000001010010000001100100010000000110010001000000011001000000110000000110100000000010010010000000000110100001000010000000000000000000101000001000000000000000000001000000010000000000110000001000000000000000001100000001000000000000000100000101110000000000100000000000001100011000000110011100100000000000010000000101010000000000010000001000000000000000000000000000000000000000110001000100010000000000010000000000000000001000100100101100000000100001010010000000000000100000000000000000000000001000000010000100000001000011111000101000000100100000000001100000101000100010101001000000000001000001000001000000000100000000000100001000001000000010000001000000010000000000001100011010101100000001000000000000010000010000000011000001000000000011101000000000010001000000100010000000100100100010000000110000001000000000001010100000000011,"[2, 14, 0]"
6,7,,R539,*ON(C(F)(F)F)C(F)(Br)C(*)(F)F,01100000001001001000000100100000001000000011001010000101010000001010001011000000010001011000001100000000110001001110000100000011000010000000000110110001000100001000011010100000001100000100000100000000001100001000100000000001000100000001000000101100000001010000001011010000000100100000110000010000000011010010001001000000000011110010010101000000011001000000100000000000010010001000001101000010011100000000000000101000000001000000000000000100000000000000000000000010000000000100000000000010010100000000010000000010001000000000100000000100000100000011000010010000000000000001001000000011000010000001100000010000010000100011000100011001010000001001101001000000000000000001000010000001101010000100000010110100000100010001000000011100000001100010001100000000000010100100001101000000000110010000100001101100000000000100001001000000011010001000000000000000000010000010110000010001010010011001000100100000100011000000100010010000001000000111101010101000000010001100011000001000000000100000000001000010101000011000000001000000010010101011000100100000000000000101000100001000001000000000010000000001001000000000100011001010000011000001000000000000010000000010000001001100100001100000000000010000100000010000001011000100000000010000110110000001010000000001101000010000000110000001000001011001000000110100000010100010000010011100000000000010100001000010000000001000010100101001001000001000000000000000000000010000000010110000001000010110000100001110000001010000000000000100010101110100000000100001000100011100001000000110011100100000100001010000000110010000000001010100001000001000000010100100011000000000000000111001000100000100100010010001010000100001001000100100100110001000100110110010001101000000110000010000000000001010000000001010000100000001000011101000101010001100100000000001100000111000100010101101000001000001000001100001000000000100000001000101001000001000000010000000000000011000100100001100111010101111000001010000000110010000010000000001100001000011000011101001000000000001000000100010010010100000100010001000110000011000000000001010100000000011,"[2, 14, 0]"
7,8,,R529,*c1ccc(N=Cc2ccc(*)c(*)c2)cc1,10001000000000000000000000000010010000000010000000000000000100000000000101100000000000001010000000000001000000000100100000100000011001000000000000000000000001010100000000000000000000001000000000110010000000000001101000000100010100000000000001000000001010000000000000000011000010000100001000000010000000000000000000000000000000000010000000100000010001000101000000000000000000000001010000000000010000000000000000000011010001000000100000100001010001100000000001110000101000001000010000000000101000001001000000100100000010000000000000010000000000000011001000001001001000001000010000100000000000000000001010000000000000100000000000000000000001010000010100010000001000000000000000101000000000100001000000001000101000000000000000000010000001000010000010000000000000000010000000010000000000000010000010000010000000100000000000100000000000100000000010100000000001110000000100001000000010011000000010000110101100000000000100000000000000100010001100000100000101010000000000010100000000000100000000000001010000001100000100001100100000010010000000000000000000000000000000001000100000000000000000000100000011000100101000110001100100010000001000000000000010000000000000000100000100001001000010101000000000000000000000000100000000000001101000000000000000100100000001011000000000000000101000101001000000010000000000000000000000000000000000000000000011000010000000000000001100000000000000100000000000100000001000010001000000100100000001000000000000000000000001010001100000001001000000011001000000000000000000000000100101000010000000000000000100000000000000000000010000001100000000000001000000000100101000000000100001000000000001000010000110000100000101100100000000000000001000000000101000000000100000100000000000000011000000000000000001000000000000000000000001000000010000000010010000000000001000000001100000000100000000100011011000101100100100000010000010000000000000000000000000000001000011000100000000101100001000000000010101000000000010010000000000000000010000010001000000000000000000000000000000000100000000000000000100000000000100000100000000000000010000000000,"[3, 17, 2]"
8,8,,R541,*ON(C(F)(F)F)C(F)(C(*)(F)F)C(F)(F)F,01100000110001101001011100100000000000000011000010000101110100011010000011000000010000011000001000000000000001101000010110000010100010010000100100100001000101000000001000100000001000010000010000001000000100001000100000000000001000000011000000101000001000111001011001100100001101100000110000010001000000100110001000000110000011000011010101001000010001000000100000100000000000000000011101000010010000100000000000001000000000011000000010000010010000000000000100000011000000000110000001100110010100001000010000010111000000000000000000000000000101001011011010010000000000010000001000000000001010101001100100010001010000000001000100001001011000100001101000000000000001000001010010000000010010010000001100111010010001000001000000011100000001100000011100010010001000100100001100100001001110011010100001111000010000111100001001000000011110001000000100100000010011010010111001010011110100011001000110000000110011010000110000010100001000011111101010000000000000001110011000001000000000100000000001000110101100111000001100000000010010101011100101000001010000000101010100101000001000000000010000000000000000000000001001001000010011000001100000100000000100100100001001001000100000100000000001010000100010110000000011000100000010100001111000000001011001100001110000010100000110000101100000011011001100110000010010100100010011010001001010000011100001111010000100000000000010101000001000000000000100100000000000010000000000110000001000000000000000011100000111000000110000000101001101110000100101100001100000101100011000000110111100100010000000010001000100010000000000011000001000000000000000000000000000000000000000110001000101100100000000010000000000001010001110100100101100001001100000010010000111001000101001001010000000000010001000100011000100001011000011111100111000000100101000001001100110101000110010101001010000000101000001000001000010000100000000000100001110001000000110000000000100000000000000001110111011101100010001000010010000100000011000000001000001100000000011101000000000000001010000110110000110100000100010000110111100001000100010001010100001000011,"[2, 17, 0]"
9,9,,R685,*NCN*,00000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000001000000000100000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,"[2, 5, 0]"
