,Unnamed: 0,correction,RID,smiles,fragment_fp,fragment_fp2
0,0,,R94,*c1ccccc1Cl,00000000000000000000100100000000010000000000000000000000100000000000000000000000000000000000000010000001000000000000000000000000000000000000000000000000000000000100000010100000000000000000000000110000010000000000000000000000010000000000000000000000000000001000001001001000000000000100000000000010000000100000000000000000000000000110000000100000000000001000000000000000000000000000000000000000000000100000000000000100000000000000000000010000000000000000000000000011000000000000010000000000000000000010100000000000000000000000000000000000000000000000000000000000000000001000000000001000000000000000000000000000000000000000100000000000000000000000010000000000000000000000010000100000100010000000000000000000000010000000000000000000001000000000000000001000000000000000000000010000000000000000000010000001000000100000000000000000000000000000100000100000000000000000000000000000000000011000000000000000000000000000000000000000000000000000000000000100000000100000000000000000000000000000000001000000010000000000000100000101000000000010000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000001100001000000000000000000000000000000000000000000000000000100000000000000000100000000001010000000000001000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000010000000000000000000000000000100000000000000000000000000000100000000000000000000000000000000000000000000100000000000000000000000000000000000001000000000000000000000000000000000000100000000001000000000000000000000001000000000000000000000000000000010100000000100000000000000000001000000000000000000000000000000000000000000000000000000000000000000010000000000000000000100000000000000010000000010000000000000000000000000000000000000000000000000100000000000000000000000000000100000000000000000100000000000000010000000000000000000000000000000000000000000000000000000000000000000000000010000000000000001000000000000000000000000000000000,"[1, 8, 1]"
1,1,,R95,*c1ccccc1F,00000000000000000000000000000000010000010000000000000000000000000000000000000000000000000000000001001001000000000000000000000000000000000000000000000000000000000100000000000001001010000000000010110000010000000000000100000010010000000010000000000000000000001000000000000000000001000100000000000010000000000000000000000000000000000010000000100000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000001000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000010000000000001000000000000000000000000000000000000010000000000100000000000000000100000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000010000000000000000000010000000000000100000000001000000000001000000000000100000000000100000000000000000000000011000000000000000000000000010000000000000000000000001000000000100000000000000000000000000000000000000000000000001010001000000000000000000000000000010100000000000000000000000000000010000000000000000000000000000000001000000000000010000000000000000000000000000000000000000000000000000000100001000000000000000000000000000000000000000000000000000100000010000000000100001000001011000000000000000000000000000000000010000000000000000000000000000000000000000001000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000010000000000000010000000100100010100000000000000010000100000001000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000100000000000000000100000000000000000000000000000000000000000000000000000000100000000000000000000000000000000100000000000000000000000010000000000000000000000000000010000000000000000000000000000000000000000100000000101000000000000000100001010000000010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000,"[1, 8, 1]"
2,2,,R98,*c1cccc(Cl)c1,00000000000000000000100100000000010000000000000000000000100000000000000000000000000000000000000010000001000000000000000000000000000000000000000000000000000000100100000010100000000000000000000000110000000000000000000000000000010000000000000000000000000000001000001001001000000000000100000000000010000000000000000000000000000000000010000000000000010000000000000000000000000000000000000000000000000000100000000000000000000000000000000001000000000000000000000000000011000000000000010000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000100001000000000000000000010000000000010000000000000000100000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000010000001000000100000000000000000000000000000100000100000000000000000000000000000000000011000000000000000000000000000000000000000000000000000000000000100000000100000000000000000000000000000000001000000010000000000000000000101000001000010000000000000000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000000000000000000000000000000001100001000010000000000000000000000000000000000000000000000100000000000000000100000000001010000000000000000000000000000000000010000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000100000000000000000000000000000000000000000000101000000000000000000000000000000000001000000000000000000000000000000000000100000000001000000000000000000000001000000000000000000000000000000000100000000100000000000000000001000000000000011000000000000000000000000000000000000000000000000000010000000000001000000100000010000000010000000010000000000000000000000000000000000000000000000000000100000000000000000000000000100000000000000000100000000000000010000000000000000000000000000000000000000000000000000000000000000000000000010000000000000001000000000000000000000000000000000,"[1, 8, 1]"
3,3,,R99,*c1cccc(F)c1,00000000000000000000000000000100010000000000000100000000000000000000000000000000000000000000000001001001000000000000000000000000000000000000000000000000000000000100100000000000000010000000000010110000001000000000000000000000010000000000000000000001000000001000000100000000000000000100000000000010000000000000000000000000000000000010000000100000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000001000000000000000000000001000000000000010000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000010000000000001000000000000000000000000000000000000010000000000100000000000000000100000000000000000000000000001000000000010000000000000000000000000000000000000000000000000000000010000000000000000000010000000000000100000000001010000000001000000000000100000000000100000000000000000000000011000000000000000000001000010000000000000000000000000000000000100000000000000000000000000000000000000000000000000010000000000000000000000000000000010000000000000000000000000000000010000000000000000000000000000100001000000000000000000000000000000000000000000000000000000001000000000000100001000000000000000000000000000000000000000000000000000100000000000000000100001000001011000000000000000000000000000000000110001000000000000000000000000000000000000001000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000010000000100100000100000000000000000000100000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000100000000000000000100000000000000000000000000000000000000000000000000000001100000000000000000000000000000000100000000000000000000000010000000000000000000000000000010000000000000000000000000000000000000000000000000100000000000000000100001010000000010010000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000,"[1, 8, 1]"
4,4,,R111,*c1ccc(Cl)cc1,00000000000000000000100000000000010000000000000000000000000000000000000000000000000000000000000010000001000000000000000000000000000000000000000000000000000000000100000010100000000000000000000000110000000000000000000000000000010000000000000000000000000000001000001001001000000000000100000000000010000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000011000000000000010000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000100000000000000000000000010000000100000000000000000000100000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000010000001000000100000000000000000000000000000100000100000000000000000000000000000000000011000000000000000000000000000000000000000000000000000000000000100000000100000000000000000000000000000000001000000010000000000000000000101000000000010000000000000000000000000000000000000000000000000000000000000000001000000000001000000000000000000000000000000000000000000000000000000001101001000000000000000000000000000000000000000000000000000100000000000000000100000000001010000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000100000000000000000000000000000100000010010000000000000000000000000000000000100000000000000000000000000000000000001000000000000000000000000000000000000100000000001000000000000000000000001000000000000000000000000000000000100000000100000000000000000001000000000000000000000000000000000000100000000000000000000000000000000000000000000000000100000000000000010000000010000000000000000000000000000000000000000000000000000000000000000000000000000000100001000000000000100000000000000010000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000,"[1, 8, 1]"
5,5,,R112,*c1ccc(Br)cc1,00000000000000000000000000000000010000000000000000000000000000000000001000000000000000000000000000000001000000000000000000000000000000000000000000000010000000000100000000000000000000000000000000110000000000000000000000000000010000000000000000000000000000000000000000000000000000000100000000010010000000000000010000000001000000000010000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000010000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000100000000000010000000000001100000000000000000000000000000000000100000000000000000000000000000000000011010000000000000000000000000010000000000000000000000000000000100000000000000000000000000000000000000000000000000010000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000001000000000000100000000000000000000000000000000000000000000000000000000100001000000110000000000000000000000000010000000001000000100000000000000000100010000101010000000000001000000000000000000000010000000000001000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000100000000000000000000000000100000000000000000000001000000000000000000000000100000000000000000000000000000000000000000000000000000000000010000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101000000001100000000000010000000000000000000000000000000000000000000000000000000000000000000000000010000100000010000000000110000000000000010000000000000000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"[1, 8, 1]"
6,6,,R113,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,00000010000001001001010000110000000110001000000000000100000101011000000000101000001000010001011000000000000000000000010000000000100000000001000101001000000000100110010011000000110100000100111010000000000000000000000000100000001000000100000010000100010010101000000000010000000100000000100001100000000000111000000000010110001101000000000000000000000000000000100000100000100000110010000000000000010000100110001010000000001110000010000001100000100010001000000000010000000000000100000000001000100100010000100010100100000000000000010000000000000000001010000000001110000001000000001000000010000000100000000000000000000001001000000000001001010000000010000001010000000000000010000000010000000010010001000000100000011001000000000001010000000000001100011000000110000001000001010000001101000010000000000100110000101100000100000100000000100100000100000001000001010101011000000000000011010110000000010000000100000101010001000000000100000000111001001000100000100000100110000100000000000010000000010000000000000000010000000000010000011010000000010001001000010000000001000010000000000000000000000000000001001000000000000010101000010010000000010000000010001000001100000000010000000000100000000000010000100000100000000010000100000010000000000000000000010000001001001001010000000000111100000000000010000010000000000000000000000010000000000110000001000001111010000100000010000011000011000000000000000110000001010000010001100001010000000000000001000010010001000001000000000010000000100000010000000100010000100010000000000010000000010000100000000000010101000000001001000110011001000001000000000010100000001000000010000100110100000111010101000000010000000000000000100010110000101001001000000000000111000010000000001001000010000000000010000110000001000000010000000001001100000000000000000000000000110001000001100100100000000010000100000001000100000100000000000000000000001100000100000000100000010101000000000000000101001001000010000001000110001000000001010000000100000000000000000001010000100100000000000000100010000101100000001100000110000000001000001100000010000000101000,"[1, 23, 0]"
7,7,,R133,*c1ccc(F)cc1,00000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000000100000000000000000010000000000010110000000000000000000000000000010000000000000100000000000000100000000000000000000000000100000000000010000000000000000000000000000000000010000000100000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000001000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000010000000000001000000000000000000000000000000000000010000000000100000000000000000100000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000010000000000000000000010000100000000100000000001000000000001000000000000100000000000100000000000000000000000011000000000000000000000000010000000000000000000000000000000000100000000000000000000000000000000000000000000000000010000000000000000000000000000000010000000000000000000000000000000010000000000000000000000000000100001000000000000000000000000000000000000000000000000000000000000000000000100001000000000000000000000000000000000000000000000000000100000000000000000100001000001011000000000000000000000000000000000010000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000100000000000000000000100000000000000000000000000000000000000000000100000000000000000000000000000000000000000000100000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000100000000000000000100000000000000000000000000000000000000000000000000000000100000000000000000000000000000000101000000000000000000000010000000000000000001000000000010000000000000000000000000000000000000000000000000100000000000000000100001010000000010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000,"[1, 8, 1]"
8,8,,R134,*c1ccc(I)cc1,00000000000000000000000000000000010000010000000000000000000000100000000000000000000000000000000000000001000010000000000000000000000000000000000000000000000100000100000000000000000000000100000000110000000000000000000000000000010000000000000001000000000000000000000000000000000000010100000000000010000000000000000000000000000000000010000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000010000000000100000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000010000000000000000000010001000000000100000000010000000000000000000000000100000000000000000000000000000000000011000000000000000000000000000000000000000000000000000000010000100000000000000000000000000001000000000000000000000010000000000000000000000000000000010000000000000000100000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000010000100001000000000001000000000000000000000000000001000000000100000000000000000100001000001010000001000000000001000000000000000010000000000000000000000000000000000000000000000000000000000000100000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000010001000000000001000000000000010000000000000000010001000000000000000000000010000000000000000000000000000000000000100000100000000000000000000000000000000000000000000000000001000000000000000000000000001000000000000000000000000000100000000000000001000000010000000000000000000000100000000000000000000000000000000000000000000000000000000100000000000000000100000000000000010000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000100000000000000,"[1, 8, 1]"
9,9,,R136,*c1c(Cl)cccc1Cl,00000000000000000000100100000000010000000000000000000000100000000000000000000000000000000000000010000001000000000000000000000000000001000000000000000000000000000100000010100000000000000000100000110000010000000000000000000000010100000000000000000000000000001000001001001000000000000100000000000010000000100000000000000000000000000110000000100000000000001000000000000000000000000000000000000000000000100000000000000100000000000000000010010000000000000000000000000011000000000000010000000000000000000010100000000000000000101000000000000000000000000000000000000000000001001000000000001000000000000000000000100000000000000000100000000000000000000000010000000000000000000000010000100000100010000000000000000000000010000000000000000000001000000000000000001000000000000100000000010000000000000000000010000001000000100000000000000000000000000000100000100000000000000000000000000000000000011000000000000000000000000000000000000000000000000000000000000100000000100000000000001000000000000000000001000000010001000000100100000101000000000010000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000001100001000000000000000000000000000000000000000000000000000100000000000000000100000000001010000000000001000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000010000000000000000000000000000100000000000000000000000000000100000000000000000000000000000000000000000000100000000000000001000000000000000000001000000000000000000000010000000000000100001000001000000000000000000000001000000000000000000000000000000010100000000100000010000000000001000000000000000000000000000000000000000000000000000000000000000000010000000000000000000100000000000000010000000110000000000000000010000010000000000000000000000000100000000000000000000000000000100000000000000000100000000000000010100000000000000000000000000000100000000000000000000000000000000000000000010000001000000001000000000000000000000000000000000,"[1, 9, 1]"
