,RID,smiles,fragment_fp,fragment_fp2
0,R0000000110,*c1ccc(C#N)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f56d030>,"[1, 9, 1]"
1,R0000000182,*CC(*)C#N,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f56d080>,"[2, 6, 0]"
2,R0000000183,*CC(*)(C)C#N,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f56d260>,"[2, 7, 0]"
3,R0000000195,*C1CC(*)(C#N)C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f56d3f0>,"[2, 8, 1]"
4,R0000000304,*CCC#N,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f56d490>,"[1, 5, 0]"
5,R0000000307,*CC#N,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f570350>,"[1, 4, 0]"
6,R0000000308,*CCCC#N,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f5702b0>,"[1, 6, 0]"
7,R0000000411,*C(*)CCC#N,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f570990>,"[2, 7, 0]"
8,R0000000481,*CC(*)(C#N)C*,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f570030>,"[3, 8, 0]"
9,R0000000482,*CC(C#N)(C#N)C*,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f5700d0>,"[2, 9, 0]"
10,R0000000797,*C(*)(*)C#N,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f570710>,"[3, 6, 0]"
11,R0000000857,*c1ccc(*)c(C#N)c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f570490>,"[2, 10, 1]"
12,R0000000861,*C1C(*)(C#N)C(*)C1(*)C#N,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f55de90>,"[4, 12, 1]"
13,R0000000900,*C(*)C(*)(C#N)C#N,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f55d800>,"[3, 9, 0]"
14,R0000000905,*CC(*)(*)CC(*)(C#N)C#N,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f55d3f0>,"[4, 12, 0]"
15,R0000000906,*CC(*)CC(*)(C#N)C#N,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f55d490>,"[3, 11, 0]"
16,R0000000948,*C=CC(C#N)C*,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f55d530>,"[2, 8, 0]"
17,R0000000958,*C(=*)C#N,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f588080>,"[2, 5, 0]"
18,R0000000970,*C=C(*)C#N,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f5880d0>,"[2, 6, 0]"
19,R0000000987,*C(*)(C#N)C#N,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f588030>,"[2, 7, 0]"
20,R0000001006,*CCCC(*)C#N,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f5818f0>,"[2, 8, 0]"
21,R0000001012,*CC(*)(Cl)C#N,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f581e40>,"[2, 7, 0]"
22,R0000001016,*CCC(C#N)CC(=*)C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f5814e0>,"[2, 10, 0]"
23,R0000001017,*C=CC(C)(C)CC(C#N)C*,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f581260>,"[2, 12, 0]"
24,R0000001018,*C=C(C)CC(C#N)CC*,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f581350>,"[2, 11, 0]"
25,R0000001053,*c1ccc(N=Nc2ccc(C#N)cc2)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f587f30>,"[1, 17, 2]"
26,R0000001054,*=C(C#N)C#N,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f587f80>,"[1, 6, 0]"
27,R0000001068,*C=CC1CC(*)C(C#N)C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f587ad0>,"[2, 11, 1]"
28,R0000001069,*C=CC1CC(*)C(*)(C#N)C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f587990>,"[3, 12, 1]"
29,R0000001200,*c1ccc(N=Nc2ccc(N=Nc3ccc(C#N)cc3)cc2C)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f587800>,"[1, 26, 3]"
30,R0000001207,*=CC1=C(C#N)C(=*)OC1(C)C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f587210>,"[2, 12, 1]"
31,R0000001213,*c1ccc(N=Nc2ccc(C#N)cc2)c2ccccc12,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f587580>,"[1, 21, 3]"
32,R0000001359,*c1cccc(*)c1C#N,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f587620>,"[2, 10, 1]"
33,R0000001416,*c1ccc(*)c(N=Nc2ccc(C#N)cc2)c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f5876c0>,"[2, 18, 2]"
34,R0000001488,*c1ccc(C(=*)C#N)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f5877b0>,"[2, 11, 1]"
35,R0000001518,*c1ccc(N=Nc2ccc(N=Nc3cc(C)c(C#N)c(C)c3)cc2)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f587440>,"[1, 27, 3]"
36,R0000001615,*c1ccc(C#N)c(*)c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f587a30>,"[2, 10, 1]"
37,R0000001673,*c1cc(C#N)c(*)s1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f587e90>,"[2, 9, 1]"
38,R0000001689,*C=C(C#N)c1cccc(C(=*)C#N)c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f587670>,"[2, 15, 1]"
39,R0000001808,*c1ccc(N=Nc2c(C)cc(N=Nc3ccc(C#N)cc3)cc2C)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f79f6c0>,"[1, 27, 3]"
40,R0000001821,*c1ccc(N=Nc2nc(C#N)c(C#N)[nH]2)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f79f350>,"[1, 18, 2]"
41,R0000001825,*C1(*)OC(=*)C(C#N)=C1C=*,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f79f530>,"[4, 12, 1]"
42,R0000001882,*c1nc(C#N)c(*)n1C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f79fa30>,"[2, 10, 1]"
43,R0000001883,*c1nc(*)n(C)c1C#N,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f79fb70>,"[2, 10, 1]"
44,R0000001887,*NC(=*)C#N,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f5535d0>,"[2, 6, 0]"
45,R0000001892,*N(*)C#N,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f553800>,"[2, 5, 0]"
46,R0000001908,*c1ccc(C#N)c(C#N)c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f553760>,"[1, 11, 1]"
47,R0000001928,*c1nc(C#N)c(C#N)nc1*,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f553440>,"[2, 12, 1]"
48,R0000002047,*C(*)(C)CCC#N,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f553c10>,"[2, 8, 0]"
49,R0000002188,*c1cc(C(=*)C#N)c(*)cc1C(=*)C#N,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f5534e0>,"[4, 16, 1]"
50,R0000002198,*c1ccc2c3ccc(C(=*)C#N)cc3n(*)c2c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f553990>,"[3, 19, 3]"
51,R0000002207,*c1nc(C=*)c(C#N)c(C=*)c1C#N,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f553f80>,"[3, 15, 1]"
52,R0000002208,*C=Cc1nc(C=*)c(C#N)c(C=*)c1C#N,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f5533a0>,"[3, 17, 1]"
53,R0000002210,*c1[nH]c2ccc(C#N)cc2c1*,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f553ee0>,"[2, 13, 2]"
54,R0000002249,*c1cc(C)c(N=Nc2ccc(C#N)cc2)c(C)c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f5533f0>,"[1, 19, 2]"
