,Unnamed: 0,correction,RID,smiles,fragment_fp,fragment_fp2
0,0,,R179,*CC(*)C(C)=O,00000000000001010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000100000000000000000000000000000000000000000000010000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000101000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000010000000000000000000000000000000000000001000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000010000000000100000000000000100000000000000000000000000000000000100000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000001000000000000010000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000001000000000000000000000010000000000000000000000000000000000000000000000000000000001000000000000000000000100000000000000000001000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000001000000000000000000010000010000000000000001000000000000000000000000000100000000000000000000000100000000000000000001000000010000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000010000000000000,"[2, 7, 0]"
1,1,,R180,*CC(*)C(=O)C(C)C,00000000000001010000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000100000000000100000000000000000000000001000000010000000000000000100000000000000000000000000000000000000000000000001000000000100010000000000000001000000000000000000000000000000000000100000000000000000000000000000000001000000000010000000000000000000000010000000100000000000010000000000000000000000000000000100000000000000000000000001000000000000000000000000000000000000000000000000000100000000000000000000000000000000001000000000000000000000100000000000000000000000000000000000000000000000001000000000001001000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010000000001000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000010000000000000000000000010000101000000000000000000000000000001000000000000000000000010000000001000000000000000000000000000000000000000000000000000010000010000000100000000010000000100000000000001000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000010010000001100000000000000100000000000000000001000000000000000100000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000001000000000000010000010000000000000000001000000000000000001000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000001000000000000000000000011000000000000000000000011000000000000000000000000000000001000000000000000000000100000000000000000001000000100000000000000010000000000000000000100000000010000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000001000100000000010000010000010000000000000001000000000000000001000000000100000000000000001000000100010000000000000001000000010000000000000010000010000000000000000000000000100000000000000000000000000000000000000000000000000010000000000000,"[2, 9, 0]"
2,2,,R181,*CC(*)(C)C(C)=O,00000000000001010000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000100000000000100000000000000000000000000000000010000000000000000100000000001000000001000000000000000000000000000000000000000000000000000000000001000000000000000000000000001000000000100000000000000000001000000000000000000000000010000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000100000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000100001000000001000000000000000000000000000000010000000000000100000000000000000000000000000000000000001010000000001000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000100000000000000000000000001000000000000010000000000101000000000000000000000000000001000000000000000000000010000000000000000000000000000000000000000000000000000000000000010000010000000000000000000000000000000000100001100000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000010100000001100000000000000100000000000000000000000000000000000100000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000100000001000000000000010000010000000000000000000000000000000000001000000000000000000000000000010000000001000000000000000000000000000000000000000000000000000000000000000000000100000000000001000000000000000000000011000000000000000000000000000000000000000000000000000000001000000000000000000000100000000000000000001000000000000000000000010000000000000000000000000000000000000000001000000000000000000000001000000000000000000000000000000100000000000000000000000000000000000000001000000000000010000010000010000000000000001000000000000000000000000000100000000000100000000000100010000000000000001000000010000000000000000000010000000000000000000000000100000000000000000000000000000000000000000000000000010000000000000,"[2, 8, 0]"
3,3,,R197,*CC(*)C(=O)C(C)(C)C,00000000000001010000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000100000000000100000000000000000000000001000000010000000000000000100000000000000000000000000000000000000000000000001000000000100010000000000000001000000000000000000000000000000000000100001000000000000000000000000000001000000000010000000000000000000000010000000100000000000010000000000000000000000000000000100000000000000000000000001000000000000000000000000000000000000000000000000000100000000000000000000000000000000001000000000010000000000100000000000000000000000000000000000000000000000001000000000001001000000001010001000000000000000000000000000000000000000000000000000000000000000000000000000000001010000000001000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000010000000000000000000000010000101000010100000000000000000000001000000000000000000000010000000001001000000000000000000000000000000000000000000000000010000010000000100000000010000000100000000000001000000000000000000000000000000000001000000000000100000000000000000000000010000000000001000001000000000010010000001100000000000000100000000000000000001000000000000000100000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000100000000000000001000000000000010000011000000000000000001000000000000000001000000000000000000000000000100000000000000000000000000000000000000000000000010000000000000000000000000000000100000000000001000000000000000000000011000000000000000000000011000000000000000000000000000000001000000000000000000000100000000000000000001000000100000000000000010000000000000010000100000000010000000000000000000000000000100000000000000000000000000000000000000101000000000000000000000000000000000000001000100000000010000010000010000000000000001000000000000000001000000000100000000000000001000000100010000000000000001000000010000000000000010000010000000000000000000000000100000000000000000000000110000000000000000000000000010000000000000,"[2, 10, 0]"
4,4,,R212,*CC(*)(F)C(C)=O,00000000000001010000000000000000000000000000000000000000000000000000001000000000000000000000000000100000000000100000000000000000000001000000000000000000000000000000000000010000000100000000000000000000000000000000000000000000000000000000000010000000011011000100000000000000000000000000100000100000000000000000000000000000000000000000000010000000000000000000000000000000000000000000010000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000001000000000000000000000000000000000000101000000000000000000000000000000000000000000000001000000001000000000000000000000000000000000000000000000000000000000000000010000000010100000000001000000000001000000000000000000000000000000000000000000000000000000000010000000000000100000000000000000000000000000100000000100000000000000010000000000000000000000000101000000000000000000000001000001000000000000000100000000000000000000000000100100000000000000000000000000000000000000010000010000000000010000000000000000000000000001000000100000000000000000000000000001000000000000000000000000001010000001000000001000000000000000000000010100000000100000000000000100000000000000000000100000000000000100000000000000000010000000000000001000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001000000000001000000000000010000010000000000000000000000000000000000100010000000000000000000000010000000000000000000000000100000000000000000010000000000000000100000000000000000000100000000000001000000000000000000000010000000000000000010000000000000000001000000000100000000001000000000000010010000100000000000010000001100000000000000000000010000000000000000000000000000000000010000000000000001000000000000001000000000000000000000000000000100000000000100000000000000000000000000001000000000000000000010000010000000000000001000000000000000001000000000100000000000000000000000100000000010000000001000000010000000000000000000000000000000000000000000000100000000000000000000000000100000000000000000000000010000000000000,"[2, 8, 0]"
5,5,,R775,*=CC(=O)C=*,00000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000010000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000001000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000100000000001000000000000000000000000000000010000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000,"[2, 6, 0]"
6,6,,R994,*C(=O)CC(C)=O,00000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000010000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000100000000000000000000000000000000001000000000000000001000000000000000000000000000000000001000000000000000010000000000000001100000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000001000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000010000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000001000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000001000000000000000000000010000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000001000000000000000000010000000000000000000000000000000000000000000000010000000000000000000000000100000000010000000001000000010000000000000000000000000000000000000000000000100000000100000000000000000000000000000000000000000010000000000000,"[1, 7, 0]"
7,7,,R1043,*CC(*)C(=O)CC,00000000000001010000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000100000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000001000000000100000000000000000001000000000000000000000000000000000000100000000000000000000000000000000001000000000010000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000100000000000000000000000000000000001000000000000000000000100000000000000000000000000000000000000000000000000000000000000001000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000010000000000000000000000010000101000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000010000000100000000010000000000000000000001000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000010010000000100000000000000100000000000000000001000000000000000100000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000001000000000000010000010000000000000000001000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000001000000000000000000000010000000000000000000000001000000000000000000000000000000001000000000000000000000100000000000000000001000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000001000100000000000000010000010000000000000001000000000000000001000000000100000000000000000000000100000000000000000001000000010000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000010000000000000,"[2, 8, 0]"
8,8,,R1046,*C=C(*)C(C)=O,00000000000001010000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000100000000000000000100000000000000000000000000000000000000000000000000000001000000000000000000000000000000000100000000000000000000000101000000000000000000000000100000000000000000000000000000000000000000001000000110000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000001000000010001010000000000000000000000000000000000000010000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000100000000000001000000000000000000000000100000000000100100000000001000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000001000001000000000000000000000001000000000000000000000000000000000000010000000000100100000000000000000000000000000000000010000000000000000000000000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000001000000000000000000000000000010100000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000001000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000100000000000000000000000000000000000000000000000000100000000000000000000010000000000000000000000000010010000000000000,"[2, 7, 0]"
9,9,,R1047,*C=C(*)C(=O)CC,00000000000001010000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000000000000000000000000000000000000000000000100000000000000000100000000000000001000000000010000000000000000000000000001000000000000000000000000000000000100000010000000000000000101000000000000000000000000100000000000000000000000000000000000000000101000000110000000000000000000000001000000000000010000000010000000000000000000000000000001000000000000000000000000000000001000000001000000010001010000000000000100000000000000000000000010000000000000000000000100000000001000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000100000000000001000000000000000000000000100000010000100100000000001000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000001000001000000010000000000000001000000000000000000000100000000000000010000000000100100000000000000000000000000000000000010000000000000000000000000000010000000000000000000010000000000000000000000000000000100000000000000000000000000010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000001000000000000000000001000000000000000000000000000010100000000000010000000001000000000000000000000000000000010000000000000000000000000000000000000000000000000000000001000000000000000000000100000000000000000000000000000000000000000010000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000001000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000001000100000000000001000000000000000000000000000000000000100000000000000000000010000000000000000000000000010010000000000000,"[2, 8, 0]"
