,Unnamed: 0,Unnamed: 1,Unnamed: 2,RID,smiles,fragment_fp,fragment_fp2
0,40,,,R244,*CC(*)P(=O)(c1ccccc1)c1ccccc1,00000000000011010000010000010011000010000011011000000010000000000000011000010000011000000000001000001001100100110000100000000000000011100000000010010000000000001110000000000000110000000100010000110001010000001000100100100000000000000010000000000110101100000000000000011000001001001000001000100010000000000000110010001000000001110110001001000001110000100011000000101000011000000010010000110100000000010010000000000010000010001000100000011000100000101101001001000110100000001100010010010100100000001000000000100110000000000000000010001000010000000110000011000100000000100100100000100101000000000000000001001011001000100101001000000100100010000000000000000010000010000000101010010100000010000000000100000010000010000000001010010000000010000100011000000000000100000111000000000100000000001100000010100000000010010100000000010000000100111000100000100001100000000000010000001000100000000101010010000010100001000000100000101001010010000000000100000010000001110010010000000000000010100010000001000000000000100001100010001001110000000011111010000000010000000000000001000000100010000000000000001000000101000001100001100000000000010000000001101001000010000000000001000100010010000000011010110110010000000001010001000010110000000000000001000000000100000010010100000010000000100000011000000111000100010000000110000000000010000010000010000100010010000100000000101000101010000001000000010010001001100100011001000100000110101000100110100000001000000001000001000000000000000001001000000110000001000010001110100000000000101000100000000000001011110001000000010001100110011000001001000000000100001000000110001100000010000000001000111000000100000000001000000000010000000000010010000100000011101110100100000100010100000010000000000100000110100000000000001000101000010001010100011000010000000010100000000010100000000010000111010001000000000000000001000000000000010001011100100000011000010011001001010010000000100100000001100000000110100100010010001000000010010100000000010000000000000010100001000000010000111000001100100000000000000000000100001100100000100110000000001000,"[2, 18, 2]"
1,41,,,R245,*CC(*)P(=O)(O*)N(C)C,00010000010001101000000000000000000000000010001000000000000000100000001000000000000001000000001000000010000011101000100000000010001001000000000000010000010000000100001010001000000000000000100001001000100000000000100000000000000100000000010100000000010100000100000000000000011000000000000000000000000000000000000000000100000011000001001000000100010010000000100000000000000000000000000010010000000000010000010000101000000000000100100100010110000000000110000001000000001000000001000000000000000000100000000000000001000000000010000001001000000000000000000000000000000000010010011011001000000000001000000000000100011010000000010000001011000001000000000001000000000000100100100001100000000001000000000000000000000000000010000000111000000010010000001000100000000000000001000000001000100000000100000000000000000000000010000000000000010000001100001100000010000010000000010110000010000010000000001110000000001000000010001000000100000010100000000000010000000100100010100000000000000011000010000000000000000000000000010100000000000000000010100000000000000101100100000000000000001000000010010100000000000000000000000101000000000000000000000000000101001000001000110001000000000010000010000000000100000100000100000000000001100101000100000101000100000000010000010100010110000010000000001000000001000000000100000100000000000010010001000000100100000000000001000000100001011100000000000000000001100010000000000001000000000000000100001000010000100000000000000001000000000000010000001000000000000000000000000000000000100000100000001000000000000000010011000001100000000100010000010001000000100000001010000001000001000010000000000000000000000100000010000100000000000000000000001001000000000100000010000000110110000000000000000000000001000000100000001000000000110000000100000000000000000000010000101000000000000000000000010001100010001000001000100001101000000010111101001000000000000000011000000000000001000000000101011010100010001000000100000001000100000100011011001000000100000011000001000000100000000000001000010000000000000000000000000000000000000000000010100001000101,"[3, 11, 0]"
2,89,,,R566,*c1ccc(P(=O)(c2ccccc2)c2ccc(*)cc2)cc1,00000000000010010000000000000000010000000010010010000000000000000000000000110010000000000000000000000001000100000000100000000000000011001011000010010000000000001111000000001000000000010000000000110000010100000000000000000000010000000000000000000100001000000000000000010000000001000100000000000010000000000000000100000000000000001110000000000001000000000010000000101000010100000010010000100000001000010000000001000010000000011000000000001000010000100000001001000000000010001000010010010000100000000000000000000010000000000000000010000000010000000100000000010100000000000000000000000001000000000000000101001001000000000101000000000000100010000000010000000000000000001000010001110000000010001000000100000000000000000000000000010000011000000000000000000000000100000100000000010000000000000100010010000000000000100000000000010000000100000000000000100101110000000010010000000000100000011101000000000010100001000000000001001000110000000000000000000100000000000010000100010000000011000000000000000000010000000000000110001000000000000010000000001000000000000000000011000000000010000000000000000000000001100001100100000000000100000100000001001001100000000000000001000000010100001100000010000000000000000000000000000010000000000000100010000000000000100000000001010000100000000000010000010000000000010001000100000000000000000010000010000000010010000100000010100000001000010010000000000010000000010000010000000000000100100000100110100000001000000001000001000000100000000000000000000010000000000000000110100000000001000001000000000000001101000000000000010001000000000000000000001000000000000000000000010000000000000000000001010000000000000000000000000000000001000000000000000000000000000000100100000000010000000010000000000100000000100000000000101000100000010001000000010000000100000000000001000000100000000110000100010000010000000000000000000010000000000001000000100001000000010000000000010000000000000100000000100000000110000000010000011000000000010010000000010100000000000000000000000000000000010100001100100000001000000000000100000000000000000000000000000000,"[2, 22, 3]"
3,135,,,R686,*CCCCP(C)(=O)CCC*,00000100100001000000000000100000000000000000000000010000000000000100000000000000000000000000010000000000000000000001001000000000000001000000100000000000000000001001000000000000000000000000000001001000000000000000000001000000100000000000001100000000000000000000000000000000000000000000000010000000010000100001000000000000000000000000001000000010000000000000000000000000000100000000000000000000000000001000000000000000000000000000000000000000010000000000100000000000100000000000000000100001000000010000010000000010000000000000000011000010000000000010000100000000000000000000000000100000000000000000000000000000001001000010000000000000000000000100000000000000100000000000100000001000010000000000000000000000000001000000000010000000000010000001001000000000000000001000000000000000000000000000010000000000000010000000100000000000000000000000000000000000000000000000000000000000000100000000000010000000000000000000000000000000000010000000000100000000000000000010000000000000000010000000010010010100000000100000000000000000000000000000000000000000000000000000000100000000000010000000000000000000000000000000000000000000010001000000000000000000000000000000000000100010001000010000000000100100010000000000010000000000001000000000000000000000000000000000000000010100000000000000000000100000000000000000000000000000010010000000000000000100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000001000000100000000010000010000000000001000000000000000000001000000000000000000000001000000000010000000000000000000000000000000000000000000000001000010000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000011000000000001000100000000000000000000000010001000000000000000001000000000000000000000000000000000100000000000000000000000000001000100000000000000000000000000000000000000000000001000100100000000000000000000000000000000000000000000000010000000000000,"[2, 12, 0]"
4,136,,,R687,*CCCP(C)(=O)CCC*,00000100100001000000000000100000000000000000000000010000000000000100000000000000000000000000010000000000000000000001001000000000000001000000000000000000000000000001000000000000000000000000000000001000000000000000000000000000100000000000000100000000000000000000000000000000000000000000000000000000010000000001000000000000000000000000000000000010000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000010000000000100000000000100000000000000000100001000000010000010000000010000000000000000010000000000000000010000100000000000000000000000000100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000100000001000010000000000000000000000000001000000000010000000000010000001001000000000000000001000000000000000000000000000010000000000000000000000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000010000000000000000000000000000010000000000000000010000000010010010100000000100000000000000000000000000000000000000000000000000000000100000000000010000000000000000000000000000000000000000000010001000000000000000000000000000000000000100010001000010000000000100100010000000000010000000000001000000000000000000000000000000000000000000100000000000000000000100000000000000000000000000000010010000000000000000100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000001000000000000000010000010000000000001000000000000000000001000000000000000000000000000000000010000000000000000000000000000000000000000000000001000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000011000000000001000100000000000000000000000010001000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000001000100000000000000000000000000000000000000000000000000010000000000000,"[2, 11, 0]"
5,137,,,R689,*CCCP(=O)(CCC*)c1ccccc1,00100001100001000010000000100000000010000100101000011000000000000110000000000001011000000001100000011001000100000001001000000001000011000000000000000000000000000111000000000000000000000000010000101000000000000000000100000001100000010000000000000000101000000000000000010000000000001000000000000010010010000001100000000000000010000110001000000010000000101001000100101000000100010000000000000100000000010000100000100000000000001000000001010001110000000001000000000000100000100100000000100001100000011010010000100001000000001001000000000000000000000110000011100100000000100000000000000110000000000000000000000000001010100000000000000000001000001010000000000010000000000000100010011000011000000000000100000000000011000000010010010000000010000001001000000000001100001010000000000000000000001000010110100000000010000100010000000000000110100000000000100001000000000000010000001000100100000001000000000000000001000000010000000000010011010000000100000000100000000010000000000000000010100000010010010100000000100001000000001000000000001010000000000000010000000000000100001000000010000100000000000000000101000001100001000000000000001000000000111010000000000000000000000010011001000000000010100110010100000000001001000010011000000000000000000000000000000100001000000000001000000000110000001010000000010000000100000000001010000010000010001000010011100100000000000000001000000000010000000010001001000010010000110100000000000000000010101000000000000001000000000000000000000001000000000100000001010000001000000000001000000000100000001000000000100000000001010000010000010000010000001100000010001000100111000100000000000000000000011000000000000010001000000000000000000000000000000000000101001010000000000000000000000001000000000100000100100000000001001101000000001001010000010000000000000000100001000010100010000010100101010101111001000000000000010000000000000000001000000001000001000000000000000010000000000100000000100001000100000001100001000000000010000000000001000000000000000000100000000000010010110000000100100000000000000000000000001000000000000010000000100000,"[2, 16, 1]"
6,215,,,R942,*CC(*)P(=O)(N(C)C)N(C)C,00000000000001000000100000000000000000000000001110000000000000000010001000000100001001000000001000000010000000100000000000000000000001100100000000000000010000000000001000001000000000000001100001000000100000000000000100000000000100000100000000000000000100000000000000000000000000000000000000000000100000000101000000000000000000000000001000010100000010000001000000000000100000000000000010110000000000010000000000101000101000010100000000010000000000000010000000000000000000000001000000000100000000100000000000000001100000000000000000001000000000000000000000000000010010010000001000000000000100000000010000000111011000000000010000001000000000000000000000100000010000000000100001000000000001000000100000000000000000000000000000100100000000010000001000000010000000000000000000000000000000000000000000010000000001000000000000000000000000000110000000000011000000000000000100000000000001000000000000000000100000000100000000000000000010000000000000010000000100000010000000000000000010001010000100000000000000000000000100000000000000000010110000000000000001000000000000000000000010000000000000000000000000000001000101000100000010000000000000010010000000001000100000000000010010000000000000000100000000000000000000000001000001000000000101000000010000000000000100010000000000000000000000001001001000000100000000000010000010010000010000100001100010000001000000001101000001001000000000000000100000010000000100000000000001000000000000010101000000000000000001000000000000010100001000000000100000000000000000000000000001100000001000000100000000000010000001100000010100110000100000000000000000001011100001000000001010000000000000000000000100000010000000000000000000000010001000100000010100000010000000010100000010000000000000000000000000000000001000000000000000000100000000000000000000000000100000000000000000000000010001100000001000000000000001100000000000011000001000000000000000000000000000010000010000000000000000100010001100000000010001010100001000110001000000000100000010000000000000001000000010001000100000000000000001000000000000000000000000010010100000010101,"[2, 12, 0]"
7,252,,,R1171,*CP(=O)(O*)O*,00000000000001000000001000000000000011000110000000000000000000000000000000000000000000000000000000000000000000001000000000000000000001000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000101000000000000000000000000000100000000000000100000000000000100000000000000000000000000000000000000000000000000000000000000000000000010000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000001000000000000000000000000000000000001000000001000000000000000000000000000000000000000000000000000010000000000000000000000000000000100000010000000000000000000000000000000100000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000010000000000000010000000000000000010000000000001000000000000000000010000000000000000000000000100000100000000000000000000000000000010000000000000000000000000100000000000000000000010000000000000000000000000000000000000010000000000000000100000000000010000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010001000000000000000000000000000000100000000000000000000000000100000000000000000000100000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000100000000001000000000000000000000000001100000000000000000000000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000001000000000100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001000000000000000000100001000000000011100000001000000000000000010000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000010000000000000000000000000000100000000000000000000000100000000000010000000000000,"[3, 8, 0]"
8,271,,,R1317,*OP(=O)(O*)O*,00000000000000000000010000010000000001000010000000000000000000000000000000000000000000000000000000000000000000001000000000000000000001000000000000001000000000000000000000000000000000000000000000100000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000010000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000010000000000001000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000010000000010000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000100000000000000000100000000000000100000000010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000010000000000000,"[3, 8, 0]"
9,289,,,R1396,*c1ccc(P(C)(=O)c2ccc(*)cc2)cc1,00000000000010010000010000000000010010000010011010000000000100000000000000110010010000000000000000001001100100010000100000000000000011001000000010010000000000001111000000001000000000000000010000110000000000001000100000000000010000000000000000000110001000000000000000010000000001000100000000000010000000000000000000000000000000101110000000000001100000000011000000101000010000000010010000100100000000010010000001000010000000001000000000001000000000100001001001000000000010001100010010010000100000000000000000100010000000000000000010000000010000000100000001000100000000000100000000000001000000000000000001001001000000000101000000000000100010000000010000000010000010000000100010110100000010001000000100000000000000000000000010010000010000000000010000000000000100000100000000010000000000001100000010100000000000110000000000010000000100111000000000100001110000000000010000000000100000011101000000000010100001000000000000001000010010000000000000000111000000110010010001000000000010100010000000000000010000000001000010001000000000000010011000001000010000000000000001000000100010000000000000000100000001000001100000000000000000000000000001101000000000000000000001000000010100001000000010100100000000000000000001000010010000000010100010000000000000100000000001010010100000000000011000000010000100010000000100000000000000000010000010000000010010000100000000100000001000000000000000000010000001000100010000000100000100101000100110100000001000000001000001000000100000000001000000000010000001000010001110100000000001000001100000000000001110000001000000010001000000000000000100000000000000001000000000000100000000000000000001010000000000000000000000000000010001000000000000000000000011001100100000000000010000000010000000000100000100100000000000101000100000010001010000000000000000000000000000000010100000000110000111010001010000000000000000000010000000000001001000100000000000010001000000010000000000000100000000100000000110000000010000011000000000010000000000010100000000000000100001000000010000011000000100100000001000000000000100001000000000000000000000000000,"[2, 17, 2]"
