,Unnamed: 0,correction,RID,smiles,fragment_fp,fragment_fp2
0,8,,R135,*OS(=O)(=O)c1ccc(*)cc1,00000000000000000000000000000010010000000010000000000000000000001000000000100000000000000000000000000001000000000000000100000000000000000000000000000000100100100100010000000101000001000100001000110100000000000000000000000000010000001000100000011000000000000000000000000000100100000100000000100010000001000000000100001000010000000010000000000100110000101010000000010000000001000000000000000100000000000000010000000000010001000000000100000000000000000000010000000000000000000000010000000011000000000000000000001000001010000000000000010000000000000000000000000100000000100000000100100000010000000001000000000000000000000000000001000000000000000000010001000000000010000000000000100010000000000000000000000000100000000000000000000000000000000000000000001110000000000000000000010000000000000000000010000000100000100000000000000000110011000000000010100000000100000000010000101000000000011010010000000000000000001001000011000010000010000100000011000100000000000000001010001000000001000000000001000011011000000010000100000100000010000010000000000000000000000000000000010000010001001001000000010001000001000000000001001000000000000000011000010010001000011001000001000000000100001010010000110100000000000000000000001000000000000010100000010100000000110000101001011000100001000000000010000000000001011000000000001000000000000000001000000100000000000001000100000000000100000101000010000100000000000100000000000000001001000000000000000000000000000000000110000000100000000001000000101000000000000100000000000000000000000100000000000000000100100000000000000000000000000000001010000000000000000001001010010000000100000100001001010000000000000001000000000000000000000000000000000001000000000001110000010000000000001000010000000000001000000010000010000000000000001010000000100000000000000000001110000000110000000100000000000000010000000000000000010000000000001000000010000000000000000000000000000000000000000100000000000000100100000000000000010000011000000000000100000000001000010000000000010000000000000000000001000010100100000000000000000000010010000010000000000000,"[2, 12, 1]"
1,17,,R188,*OS(=O)(=O)c1ccc(C)cc1,00000000000000000000010000000010000000000010000000000000000000001000000000100000000000000000000000000011000000000000000100000000000000000000000000000000100100100100010000000101000001000000001000110110000000000000000000000000000000001000100000011000000000000000000000000000100100000010000000000010000001000000000100001000000000000010000000000100110000101010000000010001000001000000000000000100000000000000010000000000010001000000000000000000010100000000000000000000000000000000000000000011000100000000000000001000001010000000000000010000000000000000000000000100000000100000000100100000010000000001000000000000000000000000000001000000011010001000000001000000000010000000000000000010000000000000000000000000100000000000000000000000000000000000000010001110000000000000000000000000000000000000000010000000101000000000000000000000110011100000000010100000000100110000010000101000000000000010010000000000000000001001000001000010000010000110000000000010000000000000001010001000000001000100000001000011001000000010000100000100000010000010000000000000000000000000000000011000110001001001000000010001000000000000000001001000000000000000011000010010001000011001000001000000000000000010010000110000100000000000000000001000000000000011000100010000000000010000101000001000100001000000000010000000000001011000000000001000100000000000001000000100000001000011000100000000000000000001000000000100000000000000000000000010000001000000000000000000000000000000000010000000000000001001000000101000000000000100000000000000000000000000000100000000000000100000000000000000010000000100000010000000000000000100001000010010000100000000001000010000000000000001000000000000000000000000000000000001000000000001010000010000000000001001010000000000001000000010100010000000000000001000010000100000000000000000001110000000110000000101000001000010000000001010000000000000001000001000000010000000000000000000000010000000000000001100000000000001100101000000000000000000011000000000010000000000001100010000000000010000000000000000000001000000100100000000000000000000010000000010000000000000,"[1, 12, 1]"
2,43,,R252,*C#CC(OS(=O)(=O)c1ccc(C)cc1)=C(*)OS(=O)(=O)c1ccc(C)cc1,00000100011001010000011001001010000000000000011010100010001100101101000000101010000100000010000010100011000000000000000101100010000100100010000000100000110100100110110010011110100001000000001100110010000000000000001010100000010010100000110010011000000000000101000000100010100110000001010000000010000001000000110100101001001000000010000000000100110001111000000000110011001000000100010001100000000000000010010000000010010001000100100000000101111100000000001000100110000100000011100010000011100110000000100000001000001010010000000000011000000001000000000000011101001000101001110100111101000000100101100000010001000101000001000001001101111010001001101001100010110010010000000000000011100000000000001000000010100011000000101000000000000110100000000011101111000000001110000010000001100000100010100110000000101100000010001001000100110001100000000000100010100100110010010100100100010000100110011101100110001000011011000001110000100010011010000000000010010000001000001010001000000000100100010001101001001010010010000110000110001000000011000000010010010001100000101000011010111001010101010000000011101000110000101001010000001010010000110010110100001001011101001011000000100010101111010001110001101011010011100000111100101001010011101110001001000010010100100000111000100011100001100010001000000001011000010010001000101010001101000000100100010001010011000101101010000001010001000000000100001110100000010100000010000001100010011101010000101100010001010010000001101000101011000001101110100101110000101000010000110000100001010100000000000000100000000100000000010010000100010001000001010001001101011000011010000101100010001000000100100000001001100000001000100001000000001000001001001101000111011000010100100100011001001000000100011000000011100010101000000001011010010011000000100000000010101111010001110010000101000001000010000001101110000101000010001000101100000010011000010000000000101010100000000010001100010000001001000101000010010001000011011100101100010100000100000100110010000000110000100000001010100001010010000100011000110100010000010101000000001000011001,"[2, 28, 2]"
3,45,,R281,*S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,00111011000000001011000110100001010110001101000000011000000001001000000000110100001000010001000010001000000101000000010001011110001010110010111101001001100010100110010010000001110101001100011000100000100000000110000000101000110000000000000000001100010010001000000000010000010100011000010001100000000100111010010000010010000110100000000100000000000111010000100000010000000001100000000001100101011000011110101001001001010110001010100001000000100000011101011000011011000000000110000111000000100101110000100000100100000010000000010000000000010001101010010100110100000100000000001000001101000001110000000000010100001000001010010010001001010000010010000101010000001110000010000011011010110010000001100000100000011011100010011001000001000000100100011000011110010101100001011001001101110111001000001000001000100110110100100100001100100100000001011010010001010101001111010000000001000111000000010101010110000011010001001100000000000010110001110001000101000010000110000000000010010010000001101000000010000010010000100000010100001011000000010000000010011000100000000000000001000100000000001000000101000010001000000111111010010010000100010000000010101000001111000010000010000001110000000010010101000100000000111010000100011100001001001001111100010010001011011001101000000000101110100000000010000010110000001001011110110010000100010110000011001001111010000100000111000011000111001110001000100111000100011000110001000001010001110010000000000010000000010000000100010011010010101000010000000010000000100011001001100001000000010000000000000000010101010000001011010111101001010001001000001010110100001011000010100000110100010000111101000010010001100000000000100100001010001110000001101001110101000000000001010001000010100011001010010001000010000101000100000001001100110000001001010111000000110101100001101100001100010011101100100101001100000100000000000010100001000000010100001000100010010100000001010001110001011001000001001000000111101000000101000101001100000100010000001001110100100000000000000000101000000101100010000100000110000000000100001110000000010000111000,"[1, 29, 0]"
4,56,,R337,*c1ccc(S(=O)(=O)c2ccc(O)cc2)cc1,00000000010000000000000000000010010000000000000110001000000010001000100000100001000000000000100000000101000000000000000100010000000000000000000000001010100100100100011000100010000011000000001000111000000000001000001000001100010000000000110010001000000011000000000000000000100100000100000001101010000000000010000100000000000000100010000000100100100001000000000000010000000000000000000000000000000000000000000000001000010001010000000000000000000000000000000000010100000000010000110000000010000000000000000000001000001010001010000100010000000000010000000000000100000000000000001000100010001000000001000000000000100000100000000000000000100100000000110111000000000010000001000001100010000001100000000110000000100000000000000100000000000000000000000000001000000000000000000000010000000000000000100010100000100010100000000000000000110000000000010000100000110000000100000000000000010000011000010100001000100000000001000010000000010010000000000011000100000000001010001110001000000000000000000000000001011100000010000100000000001000000010000000000000000000011100000000010000000011100000000000000001100001000001000001000000000000000000011000010000001000000010010000000000000100001010010000100100000000000000001000000000001000000000100000001001000000110000100001110000000001000000000000000000000000010010100100001001100000000000000000100100000001000000001000100000000100000001101000010000000000000100000000010000101001000000100000000000101000000000000110001000101110100100000000100000000000000100000000000000000001000100000000000000100100000010000000000000000000000100001010000000000000000001001010010000000001000000001001010000000000000001010000000000000000000000000000100001000000000001100000010100001000000100000000000000000000010010000000000000000000001010000000000000010000000000000000000000100000000001000000000000010000000001000000000000000000001000000011000000000000000000000000000000000000000110001000000000000100001000000000010000001000000000000101001001000000010000000001000010000000000000000000000000000100001000000000000000000010000000000000000000,"[1, 17, 2]"
5,57,,R338,*c1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,00000000000000000000000000000010010000000000000110000000000010001000100000100001000000000000100000000101000000000000000100000000000000000000000000001010100100100100011000100010000001000000001000111000000000001000001000001100010000000000110000001000000001000000000000000000100100000100000001101010000000000010000100000000000000100010000000100100100001000000000000010000000000000000000000000000000000000000000000001000010001010000000000000000000000000000000000010000000000000000010000000010000000000000000000001000001010001010000100010000000000000000000000000100000000000000000000100010001000000001000000000000000000100000000000000000000100000000110101000000000010000000000001100010000000100000000110000000100000000000000100000000000000000000000000001000000000000000000000010000000000000000000010100000100010100000000000000000110000000000000000100000100000000100000000000000000000011000010100001000100000000001000010000000000010000000000011000100000000000000001010001000000000000000000000000001011100000010000100000000001000000010000000000000000000011100000000010000000011100000000000000001000001000001000001000000000000000000011000010000001000000000010000000000000100001010010000100100000000000000001000000000000000000000100000001001000000110000100001110000000001000000000000000000000000010010000100001001100000000000000000000100000001000000000000100000000100000000100000000000000000000100000000000000001001000000100000000000001000000000000110001000101010100000000000100000000000000000000000000000000000000100000000000000100100000000000000000000000000000000001010000000000000000001001010010000000001000000001001010000000000000001010000000000000000000000000000100001000000000001100000010000001000000000000000000000000000010010000000000000000000001010000000000000010000000000000000000000100000000000000000000000010000000001000000000000000000001000000010000000000000000000000000000000000000000100001000000000000100001000000000010000001000000000000101001001000000010000000001000000000000000000000000000000000100001000000000000000000010000000000000000000,"[2, 17, 2]"
6,58,,R339,*c1c(Br)cc(S(=O)(=O)c2cc(Br)c(O)c(Br)c2)cc1Br,00000000010000000000000000000010010001000000000110001001000010001000101000100001000000000000100000000101000000000000000100110001000000001000001100001010100100100100111000100010000011010000001000111001000000001000001000001100010000000000110011001000000011000000001000000000100101000100000001111010000000000010111100000001000000101010000000100100100001100000000000110100000000000000010000000001010010000100000001001000010001010000000000000000010000000001000000010110010000011000111000001011000000000000001000011001001010001010000100010010000000010000000000000100000000000000101001100011001000000001000000000000100000100010000000010000100100000000110111000000000010000001000001100110000101100000000111100000100000001000000100010010000000000000100000001000000100100000000001010010000100000000100010100000100011100000000000000000110000001100010010100000110010000100001000000000110000111001010100001000100000000001010010000000010010000000000011000100000000011010001110001000000000000010000000000001011100000011001100000000011000000010000000000000000011011110000001110000001011100000000000101001100001000011000011100000000000000000011000010000001010000010110001000000000100001010010110100111000000000001001010010001001001000001100000001001000000110011100001110001000001000000000000000000000000110010100100011001100010010101000000100100100001000000001000100000000100000101111110010000000000000100000000011000101101100000100000000000101011000000000110011000101110100100010000100000000100000101000000000000001001000100011000000000100100001010100010000000000000000100001010000000010000000001001010010000100001010001001001010000000000000001010000000100000000000000000000100001000000010001100000010100001000000100100000010000000000010010000001001000010000001010000000000000110010000000000000100000110000010101100000000001010000000001000000000001000000101010000011000000010000010000001100000111000010000110001010000000000101001001000000110000001000000000000101001001000000011000000101000011100100000000100001001000001101001000000000000100000110000000000100000000,"[1, 21, 2]"
7,59,,R340,*c1c(Br)cc(S(=O)(=O)c2cc(Br)c(*)c(Br)c2)cc1Br,00000000000000000000000000000010010001000000000110000000000010001000101000100001000000000000100000000101000000000000000100100001000000001000001000001010100100100100111000100010000011010000001000111000000000001000001000001100010000000000110000001000000001000000000000000000100101000100000001111010000000000010110100000001000000101010000000100100100001100000000000110100000000000000010000000001010010000100000001001000010001010000000000000000010000000001000000010000010000001000010000001011000000000000001000011001001010001010000100010010000000000000000000000100000000000000100001100010001000000001000000000000000000100010000000010000000100000000110101000000000010000000000001100010000000100000000111100000100000001000000100010010000000000000000000001000000100000000000001010000000100000000000010100000100011100000000000000000110000000100000000100000100000000100001000000000100000111001010100001000100000000001010010000000000010000000000011000100000000000000001110001000000000000010000000000001011100000011000100000000011000000010000000000000000011011110000001010000001011100000000000101001000001000011000001100000000000000000011000010000001010000000110001000000000100001010010110100101000000000001001000010000000001000001100000001001000000110011100001110001000001000000000000000000000000010010000100011001100010000101000000000100000001000000001000100000000100000000110010000000000000000100000000000000001101100000100000000000101011000000000110011000101010100000010000100000000100000001000000000000001000000100011000000000100100001000100010000000000000000000001010000000010000000001001010010000100001000001001001010000000000000001010000000100000000000000000000100001000000010001100000010000001000000000100000010000000000010010000000001000010000001010000000000000110010000000000000100000110000000001100000000001010000000001000000000001000000101000000010000000010000010000001100000011000010000100001010000000000101001001000000110000001000000000000101001001000000011000000101000001100000000000100001001000000101001000000000000000000110000000000100000000,"[2, 21, 2]"
8,75,,R467,*c1nc2ccc(S(=O)(=O)c3ccc4nc(*)c(*)nc4c3)cc2nc1*,11000100000100000000000100000110011000001100000110010100000011001100111010100001010000000000000011001101110000001100000101000000010000110000101000011010110110100101111001110010001101010000001100111000000011001000001000001100100000001011110000001010000001010000000000001010100101010001010001001010001000010110010100000000000010101010000000100110100010000010000000010000100000000010011000101101010000100100101000001100010100011001000000000001000000000010000010011000001000101000010000010011000000000000011000000110001110101010010000010010000010001000001000010100000000000000111000100000001000010001100000000001000010100000000000000110110100001000100101000000000010000000000011100010001010110110100111000000100000000100100100101000100000000000101000011000101010010001001001100000000110000000100010100001100010000001010000010000110100010000001001100100101001000110011001100010000000000000010100101001100000000001000000000010001110110010000000000001000000000001001010001011001010000000001000101001000100000010001100001001001000001011000100010100001000011101010000011000000111100000001101000001100001000101000001000001000111000100011000010010011000000100011000010000000000001010110010001001110000000011001000001001100000000000010010001001000000011000100001100001010011011000000011010001000100010010010100001011101000000000101011000101000001000000110001100010000101000100100000000111010000010000000000000001100001000010110000000000101101100000000010011000001011100100000000100000000000110101010001000100100010110000000000000000101010001000010010001000000000100000011010010000000000000000101000010011100011000000101000010010110011000001010010001000000001010100000010100101010000000000001101010101011000110001000010010000000000010010000000000000000000001000100000010001011000000000001000100000100000011001110000000000000001010001000001101000110110001000001010000000100010001100000000000000000000100100101000100001000100001100000000010000001000000010000011001001001001011000100001110000000101000000000000110000000101001001000100011000010001000000000001110000,"[4, 27, 4]"
9,79,,R505,*c1ccc(S(=O)(=O)c2cccc(*)c2)cc1,00000000000000000000000000000010010000000000000110000000000010001000100000100001100000000100100000000101000000000100000100000000001000000000000000001010100100100100011000110010000001000000001000111000000000001000001000001100010000000000110000001000000101000000000000010000100100000100000001101010000100001010000100000000000010100010010000100100100101000000000000010000000010000000000000100000000000000000000100001000010001010000000000000000001000000000000000010000000000000000010000000010000010000000000000001000001010001010000100010000000000000000000000000100000000000000000000100010001000000001000000000000000000100000000000000000000100000000110101000000000010000000000001100010000001110001101110000000100000000000000100000000010000000000000000001000000000000000000000010000000000000000000010100000100110100000000001000000110000001000000000100000100000000100000000000000000000011000010100011000100000000001000010000000000010000000000011000100000000000000001010001000000000000000000000000001011100010010000100000000001000000010000000000001000100011100000000010000000011100010000000000001000011000001000001000000000000110000011000010000001000000000110000000000000100001010010001110100000000000000001000000000000001000000100000001001000000110000100001110000100001000000000000000000000000010010000100001001100000000010100000000100000001000000000000100000000100000000100000000000000100000100000000000000001001000000100000000000001000000000000110001000101010100000000000100000000000000000000000000100000000100100000000000000100100000000000000000000000000000010001010000000001011000001001010010000000001000000001001110000000000000001010000000000000000000000000000100001000000000001100000010000001000000000000010000000000000010110000000000000000000001010000000000000010000000000010000000000100000000000000100000000010000000011000000000000000000101000000010000000000000000000010000000000000000000100001000000010000100101000000000110100001100000000000101001001000000010000000001000010000000000000000000001000000100001000000000100000000010000000000000000000,"[2, 17, 2]"
