,Unnamed: 0,rid,smiles,category,p_score,graph,graph2
0,0,R1000001,*C*,known,0.5301,[],[]
1,10,R1000002,*CC(*)C,known,0.7022,[],[]
2,36,R1000003,*CC(*)CC,known,0.5976,[],[]
3,50,R1000004,*CC(*)CCC,known,0.4966,[],[]
4,57,R1000005,*CC(*)C(C)C,known,0.533,[],[]
5,60,R1000006,*CC(*)CCCC,known,0.5239,[],[]
6,64,R1000007,*CC(*)CC(C)C,known,0.9007,[],[]
7,75,R1000008,*CC(*)CCCCC,known,0.971,[],[]
8,78,R1000009,*CC(*)CCC(C)C,known,0.9419,[],[]
9,80,R1000010,*CC(*)CCC(C)CC,known,0.8613,[],[]
10,81,R1000011,*CC(*)CCCCCCC,known,0.6167,[],[]
11,84,R1000012,*CC(*)CCCCCCCC,known,0.9749,[],[]
12,88,R1000013,*CC(*)(C)C,known,0.6115,[],[]
13,100,R1000014,*CC(*)(C)CC,known,0.9241,[],[]
14,101,R1000015,*CCC(*)(C)C,known,0.9241,[],[]
15,103,R1000016,*CC(C)C(*)(C)C,known,0.9302,[],[]
16,104,R1000017,*CCCC(*)(C)C,known,0.9007,[],[]
17,105,R1000018,*CCCC(*)(C)CC,known,0.8529,[],[]
18,106,R1000019,*CCCCCCCC(*)C,known,0.6205,[],[]
19,110,R1000020,*CC(*)C1CC1,known,0.6485,"[(0, 1, {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'})]","[('*CC(*)*', '*C1CC1', {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'})]"
20,111,R1000021,*CC(*)C1CCC1,known,0.662,"[(0, 1, {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'})]","[('*CC(*)*', '*C1CCC1', {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'})]"
21,112,R1000022,*CC(*)C1CCCC1,known,0.6726,"[(0, 1, {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'})]","[('*CC(*)*', '*C1CCCC1', {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'})]"
22,114,R1000023,*CC(*)CC1CCCC1,known,0.6342,"[(0, 1, {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'})]","[('*CC(*)C*', '*C1CCCC1', {'iclass': 'hydrocarbon', 'jclass': 'hydrocarbon'})]"
