,,,RID,smiles
93,,,R591,*N=P(Cl)(Cl)N=P(Cl)(Cl)N=S(*)Cl
186,,,R831,*N=P(*)(OC)OC
187,,,R832,*N=P(*)(O*)O*
188,,,R833,*N=P(*)(NCC)NCC
189,,,R834,*N=P(*)(N(C)C)N(C)C
190,,,R835,*N=P(*)(N1CCCCC1)N1CCCCC1
191,,,R836,*N=P(*)(Nc1ccccc1)Nc1ccccc1
192,,,R837,*N=P(*)(Cl)Cl
193,,,R838,*N=P(*)(F)F
194,,,R839,*N=P(*)(C)C
195,,,R840,*N=P1(*)Oc2ccccc2-c2ccccc2O1
321,,,R1554,*N=P1(*)Oc2ccc3ccccc3c2-c2c(ccc3ccccc23)O1
334,,,R1644,*N=P(N=P(N=S(*)O*)(O*)O*)(O*)O*
335,,,R1645,*N=P(Cl)(N=P(Cl)(N=S(*)O*)O*)O*
336,,,R1646,*N=P(Cl)(N=P(N=S(*)O*)(O*)O*)O*
412,,,R2076,*N=P(N=P(N=S(*)(=O)NC)(NC)NC)(NC)NC
413,,,R2077,*N=P(N=P(N=S(*)(=O)N*)(Nc1ccccc1)Nc1ccccc1)(Nc1ccccc1)Nc1ccccc1
414,,,R2078,*N=P(N=P(N=S(*)(=O)N*)(NCC)NCC)(NCC)NCC
415,,,R2079,*N=P(N=P(N=S(*)(=O)N*)(NCCC)NCCC)(NCCC)NCCC
416,,,R2080,*N=P(N=P(N=S(*)(=O)N*)(NCCCC)NCCCC)(NCCCC)NCCCC
417,,,R2081,*N=P(N=P(N=S(*)(=O)N*)(NCCCCCC)NCCCCCC)(NCCCCCC)NCCCCCC
418,,,R2082,*N=P(N=P(N=S(*)(=O)N*)(NCC=C)NCC=C)(NCC=C)NCC=C
420,,,R2086,*N=P(*)(NCCCC)NCCCC
421,,,R2087,*N=P(*)(c1ccccc1)c1ccccc1
422,,,R2088,*N=P(*)(CC)CC
423,,,R2089,*N=P(*)(C)c1ccccc1
424,,,R2090,*N=P(*)(CC)c1ccccc1
425,,,R2091,*N=P(*)(NCCC)N(CC)CC
426,,,R2092,*N=P(*)(NCCC)NCCC
431,,,R2105,*CCP(Cl)(Cl)=Nc1ccc(N=P(*)(Cl)Cl)cc1
432,,,R2106,*CCP(=Nc1ccc(N=P(*)(O*)O*)cc1)(O*)O*
436,,,R2140,*N=P(Cl)(Cl)N=P(Cl)(Cl)N=S(*)(=O)Cl
437,,,R2141,*N=P(Cl)(Cl)N=P(Cl)(Cl)N=S(*)(=O)F
438,,,R2145,*N=P(*)(C)CCCC
439,,,R2146,*N=P(*)(C)CCCCCC
444,,,R2177,*N=P(N=P(N=S(*)(=O)N*)(NCCCCCCC)NCCCCCCC)(NCCCCCCC)NCCCCCCC
449,,,R2250,*N=P(*)(CCC)CCC
523,,,R2576,*N=P(N=P(*)(O*)O*)(O*)O*
536,,,R2699,*=NP(Cl)(Cl)=NP(Cl)(Cl)=NC(=*)Cl
542,,,R2801,*OC(=*)N=P(N=P(N=*)(O*)O*)(O*)O*
231,,PN,,*CP(*)(=N*)O*
