,correction,RID,smiles
0,,R90,*C(=O)O
1,,R251,*CC(*)C(C(=O)O)C(*)C(=O)O
2,,R264,*CC(*)C(=O)O
3,,R282,*CC(*)(C)C(=O)O
4,,R336,*CCCC(*)(C)C(=O)O
5,,R341,*CCCCCC(=O)O
6,,R672,*C(*)(C)CCC(=O)O
7,,R719,*C(=O)C(*)CCC(=O)O
8,,R740,*C(=O)C(*)(CC(=O)O)CC(C)C
9,,R933,*CC(*)C(C(=O)O)C(*)C(*)=O
10,,R976,*CC(*)(CC(=O)O)C(=O)O
11,,R977,*CC(=O)O
12,,R1021,*CC(*)(CC(*)=O)C(=O)O
13,,R1049,*C=C(*)CCCCCCCCCCCCCCCCCCCCC(=O)O
14,,R1052,*C=C(*)C#CCCCCCCCCCCCCCCCCCCCCC(=O)O
15,,R1139,*CC(*)(C(*)=O)C(=O)O
16,,R1140,*CCCCCCCCCCC(=O)O
17,,R1185,*CC(C(*)=O)C(C(=O)O)C(*)(C)C
18,,R1407,*C(C(=O)O)C(*)C(=O)O
19,,R1600,*C(=O)C(*)CC(=O)O
20,,R1841,*C(C)C(=O)O
21,,R1896,*C(=O)C(CC(=O)O)C1CC(*)C(C(*)=O)c2cc(C)ccc21
22,,R1901,*C(=O)CCC(*)C(=O)O
23,,R1924,*CC(C)(C*)C(=O)O
24,,R2014,*CCCCC(*)C(=O)O
25,,R2291,*C(C#N)(C(=O)O)C(*)(C#N)C(=O)O
26,,R3002,*CC(*)(CC#N)C(=O)O
27,,R3117,*=C=C=C(CCCCCCCCCCCC)C(=*)CCCCCCCCC(=O)O
28,,R3253,*O[Si](*)(C)CCCC(=O)O
233,,R949,*C=CC(CN)C(*)C(=O)O
