,correction,RID,smiles
0,,R115,*C(C)(C)O
1,,R116,*C(C)(O)CC
2,,R117,*C(C)(O)CCC
3,,R118,*C(C)(O)CCCC
4,,R119,*C(C)(O)CCCCC
5,,R120,*CCC(*)O
6,,R123,*CCO
7,,R124,*CCCCO
8,,R169,*c1ccc(O)cc1
9,,R174,*CC(*)O
10,,R185,*CC(*)CCCCCCCCCO
11,,R196,*C(C)C(*)O
12,,R200,*c1ccccc1O
13,,R202,*C(*)O
14,,R314,*CC(C)O
15,,R315,*CC(O)CO
16,,R424,*CC(C*)(CO)CO
17,,R469,*CC(O)C*
18,,R544,*CC(C)(C*)CO
19,,R715,*C1CC(O)CN1*
20,,R732,*CCCO
21,,R865,*c1ccc(*)c(O)c1
22,,R889,*C(O)C(F)(F)F
23,,R892,*c1cc(O)ccc1O
24,,R897,*c1ccc(O)c(O)c1
25,,R910,*c1cccc(O)c1
26,,R911,*c1cc(*)c(O)c(*)c1
27,,R915,*c1ccc(O)cc1C
28,,R923,*c1ccc(O)c(*)c1
29,,R944,*CC(*)CCCO
30,,R947,*C(O)C(*)(C)C
31,,R969,*C=CC1=C(O)C(O)=C(*)C1
32,,R973,*C=C(*)CO
33,,R1000,*C#CC(CO)=C(*)n1c2ccccc2c2ccccc21
34,,R1015,*C1CC(*)CC(O)C1
35,,R1044,*CC(*)CO
36,,R1073,*CC(C#N)C(CCC(C)(O)C=C)C(*)(C)C
37,,R1078,*CC(*)C(CCC(C)(O)C=C)C(*)(C)C
38,,R1079,*CC(O)(C(F)(F)F)C(F)(F)F
39,,R1080,*C=C(*)C1(O)c2ccccc2-c2ccccc21
40,,R1090,*CO
41,,R1133,*NCO
42,,R1136,*CC(O)C(O)C(*)C(O)CO
43,,R1137,*C1OC(*)C(O)C(O)C1O
44,,R1154,*C(CO)(CO)CO
45,,R1194,*c1csc(NN=Cc2ccccc2O)n1
46,,R1195,*=Cc1ccc(O)cc1
47,,R1214,*C1OC(*)C(O)C1O
48,,R1216,*C1OC(O)C(*)C(O)C1O
49,,R1230,*C1OC(*)C(O)C(O)C1*
50,,R1343,*C1CC(*)OC(O)O1
51,,R1353,*c1ccc(C=NN=Cc2ccc(*)cc2O)c(O)c1
52,,R1365,*CC(C*)(CC)CO
53,,R1451,*C(O)C(*)O
54,,R1460,*CC(C*)(CO)CCl
55,,R1485,*OCO
56,,R1491,*C1OC(*)C(N)C(O)C1*
57,,R1492,*C1OC(*)C(*)C(O)C1*
58,,R1565,*C1OC(*)C(O)C(*)C1O
59,,R1572,*CC(O)C(O)C*
60,,R1593,*C(O)(C(F)(F)F)C(F)(F)F
61,,R1662,*CCCCCCCCCC(O)CO
62,,R1694,*c1ccc(C(=*)c2cc(*)c(O)c(*)c2)cc1
63,,R1846,*c1cc(O)cc(*)n1
64,,R1897,*CC(O)CCl
65,,R1925,*c1cc(*)c(O)c(*)c1*
66,,R1927,*c1cc(*)c(O)c(*)c1O
67,,R1929,*c1cc(C(CC)=NO)c(O)c(*)c1O
68,,R1937,*c1cc(*)c(O)cc1O
69,,R2032,*c1ccc(O)c(C=*)c1
70,,R2134,*CCCC(O)C*
71,,R2164,*CC(O)CCCCC(O)C*
72,,R2189,*c1cccc(*)c1O
73,,R2211,*c1cnc(*)c(O)c1
74,,R2213,*N=Cc1cc(*)cc(*)c1O
75,,R2239,*C(*)(*)O
76,,R2260,*c1ccc(O)c2ncccc12
77,,R2289,*c1cc(O)c(*)cc1O
78,,R2315,*c1cc(*)c(O)cc1C
79,,R2332,*c1ccc(N=Nc2cc(*)c(O)c(*)c2)cc1
80,,R2334,*c1cc(N=Nc2ccc(C#N)cc2)cc(*)c1O
81,,R2336,*C#Cc1cc(*)c(C#Cc2ccc3c(*)c(O)ccc3c2)cc1*
82,,R2337,*c1ccc2c(*)c(O)ccc2c1
83,,R2347,*c1cc(O)c(O)cc1*
84,,R2350,*c1cc(*)c(O)cc1*
85,,R2358,*CCCCCO
86,,R2370,*C1CC(*)(O)C(F)(F)C1(*)F
87,,R2484,*C1CCCC(*)(O)C1
88,,R2494,*C(O)N(*)C(F)F
89,,R2495,*C1NN(C(C(*)O)(C(F)(F)F)C(*)(O)Cl)O1
90,,R2496,*C1(F)OC(O)C(O)C1O
91,,R2501,*CC(F)(F)C(*)(O)C(F)(F)F
92,,R2594,*C(=*)c1ccc(O)cc1
93,,R2595,*C(=*)c1cccc(O)c1
94,,R2631,*c1cc2c(cc1O)C1(CC2(C)C)CC(C)(C)c2cc(*)c(O)cc21
95,,R2966,*CC(O)CC
96,,R3095,*=C=C=C(CO)C(=*)CO
97,,R3096,*=C=C=C(CO)C(=*)C#CCO
98,,R3129,*OC(O)=C(C#N)C#N
99,,R3220,*c1ccc(O)c(C(=*)c2ccccc2)c1
100,,R3224,*N=Cc1cc(*)cc([N+](=O)[O-])c1O
101,,R3322,*c1cc(N=Nc2ccc([N+](=O)[O-])cc2)cc(*)c1O
296,,R2811,*O[Si](C)(C)CCCN=C1c2ccccc2C(=NCCC[Si](*)(C)C)c2c(O)ccc(O)c21
50,alcohol,R1152,*CC(*)C(=O)N(O)c1ccc(Br)cc1
233,alcohol,R2342,*c1ccc(N=Cc2cc(*)cc(*)c2O)cc1
234,alcohol,R2344,*c1cc(*)c(O)c(C=Nc2ccc(Cl)cc2)c1
237,S acid or alcohol,R2351,*c1cc(*)c(O)c(C=Nc2ccc(S(=O)(=O)O)cc2)c1
248,alcohol,R2516,*c1cc(N=Cc2cc(O)c(C=*)cc2O)ccc1N=*
249,alcohol,R2517,*=Cc1cc(O)c(C=Nc2ccc(N=*)cc2)cc1O
295,alcohol,R2810,*O[Si](C)(C)CCCN=C1C=CC(=NCCC[Si](*)(C)C)c2c(O)ccc(O)c21
303,alcohol,R2819,*O[Si](C)(C)CCCN=C1C=C(O)C(=NCCC[Si](*)(C)C)C=C1O
304,alcohol,R2820,*O[Si](C)(C)CCCN=Cc1cc(*)ccc1O
305,alcohol,R2821,*c1ccc(O)c(C=NCCC[Si](*)(C)C)c1
327,alcohol,R3209,*c1ccc(N=Cc2cc(*)ccc2O)cc1
331,alcohol,R3219,*c1ccc(C(=Nc2ccccc2N=*)c2ccccc2)c(O)c1
2,alcohol,R114,*c1ccc(C(C)=NO)cc1
14,alcohol,R887,*CC(=NO)c1ccc(*)cc1
69,alcohol,R2119,*NC(=NO)C(=NO)N*
96,alcohol,R2614,*c1cc2c(cc1*)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)Oc1c(c(C(N)=NO)c(*)c(*)c1C(N)=NO)O3
52,,R1158,*c1ccc(C(C)=Nc2ccccc2)c(O)c1
55,alcohol,R1162,*c1ccc(N=Cc2ccc(*)cc2O)cc1
,,,*c1ccc(B(O)O)cc1
