,corrected,RID,smiles
0,,R262,*N1CCCC1=O
1,,R295,*CC(*)C(N)=O
2,,R331,*CC(*)(C)C(N)=O
3,,R332,*C1C(=O)N(*)C(=O)C1*
4,,R443,*CC(=O)NNC(*)=O
5,,R444,*C(=O)NNC(*)=O
6,,R445,*CCC(=O)NNC(*)=O
7,,R446,*CCCC(=O)NNC(*)=O
9,,R557,*c1ccc2c(c1)C(=O)N(*)C2=O
16,,R655,*c1ccc(C2(*)NC(=O)c3ccccc32)cc1
17,,R677,*c1ccc(C2(*)c3ccccc3C(=O)N2C)cc1
18,,R679,*N1C(=O)c2ccccc2C1=O
19,,R680,*c1ccc(C2(*)C(=O)Nc3ccccc32)cc1
20,,R681,*c1ccc(C2(*)C(=O)Nc3c(Cl)cc(Cl)cc32)cc1
21,,R729,*NNC(=O)CCCCCCCCC(*)=O
22,,R730,*NNC(=O)CCCCC(*)=O
23,,R743,*NNC(=O)C(=O)NNC(=O)CCCCCCCC(*)=O
24,,R745,*NNC(*)=O
25,,R746,*C(=O)NNC(=S)c1cccc(C(*)=S)c1
26,,R747,*NNC(=O)CCCCCCCCC(=O)NNC(=S)c1cccc(C(*)=S)c1
27,,R759,*C1CC(=O)N(*)C(=O)C1
28,,R762,*N1C(=O)C2OC3C(=O)N(*)C(=O)C3C2C1=O
29,,R768,*c1cccc2c1C(=O)N(*)C2=O
30,,R771,*ON1C(=O)c2cccc(*)c2C1=O
31,,R772,*C1CC(=O)N(*)C1=O
32,,R778,*N1C(=O)c2ccc(S(=O)(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2C1=O
33,,R782,*N1C(=O)CC(*)(*)C1=O
36,,R903,*NC=O
38,,R978,*CC(N)=O
41,,R1099,*N1CCCCCC1=O
44,,R1146,*CC(*)C(=O)N(O)c1ccccc1
45,,R1147,*CC(*)C(=O)N(O)c1ccc(C)cc1
46,,R1148,*CC(*)C(=O)N(O)c1cccc(C)c1
47,,R1149,*CC(*)C(=O)N(O)c1ccccc1C
48,,R1150,*CC(*)C(=O)N(O)c1ccc(Cl)cc1
49,,R1151,*CC(*)C(=O)N(O)c1cccc(Cl)c1
51,,R1153,*CC(*)C(=O)N(O)c1ccc(I)cc1
53,,R1159,*ON1C(=O)CCC1*
54,,R1160,*c1ccc(C(C)=NNC(N)=O)c(O)c1
56,,R1235,*N1C(=O)C(=*)C(=*)C1=O
57,,R1300,*CCCCCC(=O)NNC(*)=O
58,,R1333,*C(=O)N1COCN1*
59,,R1355,*N1C(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c2C1=O
65,,R1417,*N1C(=O)C2C3C=CC(C3)C2C1=O
75,,R1445,*c1ccc2c(c1)C(=c1ccc(=c3ccc(=C4C(=O)Nc5ccc(*)cc54)s3)s1)C(=O)N2
78,,R1465,*CCCCC(=O)NNC(*)=O
81,,R1478,*C1N(*)C(=O)N2C(*)N(*)C(=O)N12
101,,R1569,*CC(=O)NN=Cc1ccc(*)cc1
102,,R1570,*CC(=O)NN=Cc1ccc(*)c(*)c1
113,,R1683,*ON1C(=O)CCC1=O
121,,R1826,*C1NC(=O)C(*)NC1=O
122,,R1829,*=CC(=O)NNC(=O)C=*
123,,R1837,*C(=O)NNC(=O)CCCCCCCCC(=O)NNC(*)=O
124,,R1838,*NNC(=O)CCCCC(=O)NNC(=S)c1cccc(C(*)=S)c1
125,,R1843,*N1C(=O)C2C3CCC(C3)C2C1=O
126,,R1844,*N1C(=O)C2CC=CCC2C1=O
127,,R1845,*N1C(=O)C=CC1=O
128,,R1852,*NNC(=O)C(*)=O
129,,R1853,*NNC(=O)C(=O)NNC(=O)CCCCC(*)=O
