,correction,RID,smiles
0,,R87,*NC
1,,R88,*N(C)C
3,,R310,*N(*)C
4,,R503,*c1ccc(N=Nc2ccc(*)cc2)cc1
5,,R536,*ON(C(F)(F)C(*)(F)F)C(F)(F)C(F)(F)Br
6,,R537,*ON(C(F)(F)F)C(F)(F)C(*)(F)F
7,,R539,*ON(C(F)(F)F)C(F)(Br)C(*)(F)F
8,,R529,*c1ccc(N=Cc2ccc(*)c(*)c2)cc1
8,,R541,*ON(C(F)(F)F)C(F)(C(*)(F)F)C(F)(F)F
9,,R685,*NCN*
10,,R585,*SC(=NCC)S*
10,,R758,*c1ccc(N=Nc2ccccc2)cc1
11,,R586,*SC(=NC)S*
11,,R802,*c1ccc(C(C)=NN=C(C)c2ccc(*)cc2)cc1
12,,R587,*SC(=Nc1ccccc1)S*
12,,R824,*c1nc(N)nc(N)n1
13,,R0594,*c1ccc2c(c1)N=C1Sc3cc(*)ccc3N=C1N2
13,,R858,*c1cc(*)c(N)c(C)c1N
14,,R644,*c1ccc(C=Nc2cccc3c(N=Cc4ccc(*)c(*)c4)cccc23)cc1*
15,,R645,*c1ccc(C=Nc2ccc(N=Cc3ccc(*)c(*)c3)cc2)cc1*
15,,R955,*C=C(*)c1ccc(N)cc1
16,,R1168,*c1ccc(N=Nc2cc(Cl)ccc2Cl)cc1
17,,R1196,*c1ccc(N=Nc2ccncc2)cc1
18,,R1211,*c1ccc(N=Nc2ccccc2)c2ccccc12
19,,R1212,*c1ccc(N=Nc2ccc(C)cc2)c2ccccc12
20,,R1218,*c1ccc(N=Nc2ccc(C=*)cc2)cc1
21,,R1227,*c1ccc(N=Nc2ccc(*)cc2C)cc1
22,,R1231,*c1ccc(N=Nc2ccc(F)cc2)c2ccccc12
23,,R1232,*c1ccc(N=Nc2ccc(Cl)cc2)c2ccccc12
24,,R1233,*c1ccc(N=Nc2ccc(Br)cc2)c2ccccc12
25,,R1234,*c1ccc(N=Nc2ccc(I)cc2)c2ccccc12
26,,R1236,*c1ccc(N=Nc2ccc(F)cc2)cc1
27,,R1237,*c1ccc(N=Nc2ccc(Cl)cc2)cc1
28,,R1318,*ON(C(F)(F)F)C(F)(Cl)C(*)(F)F
29,,R1319,*ON(C(F)(F)F)C(F)(F)C(=*)F
30,,R1324,*ON(C(F)(F)F)C(F)(F)C(*)(*)F
31,,R1326,*c1ccc(N)c(*)c1
32,,R1398,*c1ccc(C=NN=Cc2ccc(*)cc2)cc1
33,,R1408,*NC(=*)c1ccc(*)cc1
34,,R1462,*NC(=*)c1cccc(C(=*)N*)c1
34,,R828,*C(=Nc1ccccc1)c1ccc(C(=Nc2ccccc2)n2nnc(*)n2)cc1
35,,R1466,*c1cc(*)c(N)cc1N
35,,R862,*C(*)=NC(*)C
36,,R1484,*c1ccc(N=Nc2ccc(*)c(*)c2)cc1
37,,R1506,*NC(=*)c1ccc(C(=*)N*)cc1
37,,R912,*c1ccccc1N=CC(*)C(*)*
38,,R1507,*NC(=*)c1ccc2cc(C(=*)N*)ccc2c1
39,,R1064,*CC(*)C1=NCCN1
39,,R1523,*CCNO*
40,,R1577,*c1ccc(N=Nc2ccc(Br)cc2)cc1
41,,R1578,*c1ccc(N=Nc2ccc(C)cc2)cc1
42,,R1113,*c1ccc(C=Nc2ccc(*)cc2)cc1
