,corrected,RID,smiles
0,,R0000000233,*CC(*)C1=NC(C)(C)C(=O)O1
1,,R0000000234,*CC(*)(C)C1=NC(C)(C)C(=O)O1
2,,R0000000250,*C1C(=O)OC(=O)C1*
3,,R0000000464,*c1ccc(C2(*)OC(=O)c3ccccc32)cc1
4,,R0000000501,*c1ccc(C2(c3ccc(*)cc3)OC(=O)c3ccccc32)cc1
5,,R0000000573,*c1ccc2c(c1)Oc1cc(*)ccc1C21OC(=O)c2ccccc21
6,,R0000000665,*c1c(Cl)cc(C2(*)OC(=O)c3ccccc32)cc1Cl
7,,R0000000666,*c1c(Br)cc(C2(*)OC(=O)c3ccccc32)cc1Br
8,,R0000000668,*c1c(I)cc(C2(*)OC(=O)c3ccccc32)cc1I
9,,R0000000669,*c1ccc(C2(*)OC(=O)c3c(Cl)c(Cl)c(Cl)c(Cl)c32)cc1
10,,R0000000670,*c1ccc(C2(*)OC(=O)c3ccccc32)cc1C
11,,R0000000789,*C1(C)CC(*)(C)C(=O)OC1=O
12,,R0000000791,*C1CC(*)C(=O)OC1=O
13,,R0000001166,*C1(C)CCOC(=O)C1
14,,R0000001192,*C1COC(=O)O1
15,,R0000001438,*c1cccc(N=C2OC(=O)c3ccc(*)cc32)c1
16,,R0000001439,*c1ccc(N=C2OC(=O)c3ccc(*)cc32)cc1
17,,R0000001528,*c1cc(C)c(C2(*)OC(=O)c3ccccc32)cc1C
18,,R0000001529,*c1cc(C)c(C2(*)OC(=O)c3ccccc32)cc1*
19,,R0000001530,*C1OCCCC1C1C(=O)OC(=O)C1*
20,,R0000001784,*c1ccc2c(c1)C(=Nc1cccc(S(=O)(=O)c3cccc(N=C4OC(=O)c5ccc(*)cc54)c3)c1)OC2=O
21,,R0000001785,*c1ccc2c(c1)C(=Nc1cccc(N=C3OC(=O)c4ccc(*)cc43)c1)OC2=O
22,,R0000001786,*c1ccc2c(c1)C(=O)OC2=Nc1cccc(N=C2OC(=O)c3ccc(*)cc32)c1
23,,R0000002035,*C1(C)C(=O)OC(=O)C1(*)C
24,,R0000002036,*C1CC(*)(C)C(=O)OC1=O
25,,R0000002037,*C1(*)CC(=O)OC1=O
26,,R0000002038,*C=Cc1ccc(*)c2c1C(=O)OC2=O
27,,R0000002040,*C1CC2CC1C(*)C2C1C(=O)OC(=O)C1*
28,,R0000002574,*c1ccc(C2(c3ccc(*)c(C)c3)OC(=O)c3ccccc32)cc1C
29,,R0000002575,*c1cc(C)c(C2(c3cc(*)c(*)cc3C)OC(=O)c3ccccc32)cc1*
30,,R0000002605,*c1cc(C)c(C2(c3cc(C)c(*)cc3C)OC(=O)c3ccccc32)cc1C
31,,R0000002721,*c1ccc2c(c1)C(=Nc1cccc(S(=O)(=O)c3cccc(N=*)c3)c1)OC2=O
32,,R0000002722,*c1ccc2c(c1)C(=O)OC2=*
33,,R0000002724,*c1cccc(N=C2OC(=O)c3cc4c(cc32)C(=*)OC4=O)c1
34,,R0000002726,*c1ccc(N=C2OC(=O)c3cc4c(cc32)C(=*)OC4=O)cc1
35,,R0000002973,*CC(*)C1=C2C=CC=CC=CC=CC=C1OC2=O
36,,R0000002976,*CC(*)C1=CC=C2C=CC=CC=CC=C3C=CC3=CC=C1OC2=O
37,,R0000003017,*C1OC(=O)NC1(C)C
38,,R0000003326,*c1c(Br)cc(C2(c3cc(Br)c(*)c(Br)c3)OC(=O)c3ccccc32)cc1Br
