,correction,RID,smiles
0,,R94,*c1ccccc1Cl
1,,R95,*c1ccccc1F
2,,R98,*c1cccc(Cl)c1
3,,R99,*c1cccc(F)c1
4,,R111,*c1ccc(Cl)cc1
5,,R112,*c1ccc(Br)cc1
6,,R113,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
7,,R133,*c1ccc(F)cc1
8,,R134,*c1ccc(I)cc1
9,,R136,*c1c(Cl)cccc1Cl
10,,R139,*c1ccc(F)cc1C
11,,R140,*c1ccc(Cl)cc1C
12,,R141,*c1ccc(Cl)cc1Cl
13,,R144,*c1cc(Cl)ccc1Cl
14,,R145,*c1cc(F)ccc1F
15,,R146,*c1cc(C)ccc1F
16,,R147,*c1ccc(Br)cc1*
17,,R150,*c1ccc(Cl)c(C)c1
18,,R151,*c1ccc(Cl)c(Cl)c1
19,,R152,*c1ccc(Cl)c(F)c1
20,,R155,*c1c(F)c(F)c(F)c(F)c1F
21,,R157,*C(*)(F)C(*)(F)F
22,,R163,*c1ccncc1
23,,R164,*c1cccc(C)n1
24,,R165,*c1ccc(C)nc1
25,,R166,*n1cc2ccccc2n1
26,,R168,*c1ccccn1
27,,R172,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F
28,,R184,*n1c2ccccc2c2ccccc21
29,,R204,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
30,,R205,*C(F)(F)C(F)(F)F
31,,R206,*C(*)(*)C(*)(F)F
32,,R208,*C(*)C(*)(F)F
33,,R209,*C(F)C(*)(*)F
34,,R213,*c1ccc(Br)c(*)c1
35,,R215,*c1cccc(Br)c1
36,,R219,*C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F
37,,R231,*c1cccnc1
38,,R236,*C(F)(C(F)(F)F)C(F)(F)F
39,,R238,*c1cccs1
40,,R239,*CCCl
41,,R240,*CC(F)(F)F
42,,R246,*c1nc(C)nc(C)n1
43,,R255,*C(=*)c1ccc(Cl)cc1
44,,R258,*n1ccnc1
45,,R261,*C(F)C(F)F
46,,R267,*CC(F)(F)C(F)(F)F
47,,R268,*C(C(F)(F)F)C(F)(F)F
48,,R269,*C(F)(C(F)(F)F)C(F)(F)Cl
49,,R270,*C(F)(C(F)(F)Cl)C(F)(F)Cl
50,,R271,*CC(F)(F)C(F)C(F)(F)F
51,,R272,*CC(F)(F)C(F)(F)C(F)(F)F
52,,R273,*CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
53,,R274,*CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
54,,R275,*CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
55,,R277,*C(F)(F)C(F)F
56,,R278,*CC(F)(F)C(*)(F)F
57,,R279,*C(F)(F)C(F)(F)C(F)(F)F
58,,R286,*CCF
59,,R287,*CCBr
60,,R288,*CC(F)(F)C(F)F
61,,R289,*C(C)C(F)(F)F
62,,R290,*C(C(F)(F)F)(C(F)(F)F)C(F)(F)F
63,,R291,*c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
64,,R293,*c1ccco1
65,,R297,*CC(F)(F)C(F)(F)C(F)(F)C(F)F
66,,R316,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
67,,R317,*CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F
68,,R329,*CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F
69,,R342,*c1c(Br)c(Br)c(Br)c(Br)c1Br
70,,R352,*CC(*)F
71,,R353,*CC(*)Cl
72,,R354,*CC(*)(F)F
73,,R355,*CC(*)(Cl)Cl
74,,R356,*C(F)C(*)(F)F
75,,R357,*C(F)(F)C(*)(F)Cl
76,,R358,*CCC=C(*)Cl
77,,R359,*CC(*)(F)C(F)(F)F
78,,R360,*C(F)(F)C(*)(F)C(F)(F)F
79,,R361,*CC(*)C(F)(F)F
80,,R362,*CC(*)C(F)(F)C(F)(F)F
81,,R363,*CC(*)Br
82,,R364,*C(=C(F)F)C(*)(F)F
83,,R365,*CCC(F)(F)C(*)(F)Cl
84,,R366,*CCC(F)(F)C(*)(F)F
85,,R367,*CC(*)(Br)Br
86,,R368,*CC(F)(F)CC(*)(C(F)(F)F)C(F)(F)F
87,,R369,*CC(*)CC(F)(F)F
88,,R370,*CCCCCCCCC(Cl)C(*)Cl
89,,R371,*CCCC(Cl)C(*)Cl
90,,R372,*CC(*)CCC(F)(F)F
91,,R373,*CC(F)(F)C(F)=C(*)Cl
92,,R374,*C=C(F)C(F)(F)C*
93,,R375,*C(F)=C(F)C(F)(C(*)(F)F)C(F)(F)F
94,,R376,*C(F)(F)C(*)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
95,,R377,*CC(*)CCI
96,,R378,*CC(*)CCCCCCCCCI
97,,R379,*CC(*)CCCI
98,,R380,*C(*)(F)F
99,,R381,*C1(F)C(F)(F)C(*)(F)C(F)(F)C(F)(Cl)C1(F)F
100,,R382,*C1(F)C(F)(F)C(*)(F)C1(F)F
101,,R383,*C1(F)C(F)(F)C(*)(F)C(F)(F)C(F)(F)C1(F)F
102,,R384,*C1(F)C(F)(F)C(*)(F)C(F)(F)C1(F)F
103,,R385,*C(Cl)=C(Cl)C(Cl)(Cl)C(*)(Cl)Cl
104,,R386,*CCCCCC(Cl)C(*)Cl
105,,R387,*CC(*)CC(C)C(F)(F)F
106,,R388,*CCC(Cl)C(*)Cl
107,,R389,*C=CC(C*)(C(F)(F)F)C(F)(F)F
108,,R407,*C(*)C(Cl)(Cl)Cl
109,,R414,*CC(*)CCl
110,,R415,*CC(*)CBr
111,,R416,*CC(*)CF
112,,R417,*CC(*)(C)CCl
113,,R418,*c1c(Cl)cc(Cl)cc1Cl
114,,R422,*C(F)(F)C(*)(F)F
115,,R426,*CC(C*)(CCl)CCl
116,,R427,*CC(C*)(CI)CI
117,,R428,*CC(C*)(CBr)CBr
118,,R438,*c1ccc(*)o1
119,,R449,*c1ccc(*)c(Br)c1
120,,R451,*c1ccc2nc(*)cc(*)c2c1
121,,R452,*c1ccc(*)nn1
122,,R453,*c1ccc2nc(*)c(*)nc2c1
123,,R465,*c1ccc2ncc(*)nc2c1
124,,R466,*c1ccc2nc(*)cnc2c1
125,,R468,*c1cnc2cc3nc(*)cnc3cc2n1
126,,R470,*C(F)(F)C(F)(F)C(F)(F)C(*)(F)F
127,,R471,*CC(*)CC(Cl)(Cl)Cl
128,,R473,*CC(C*)(CC)CCl
129,,R474,*C1CC(F)(F)C1(F)F
130,,R486,*CC(F)(F)C(F)(F)C(F)(F)C*
131,,R487,*c1c(F)c(F)c(*)c(F)c1F
132,,R488,*c1ccc(*)c(Cl)c1
133,,R489,*c1cc(Cl)c(*)c(Cl)c1
134,,R500,*c1nnc(*)o1
135,,R502,*c1ccc2nc(*)oc2c1
136,,R504,*C(*)(C(F)(F)F)C(F)(F)F
137,,R506,*c1cc(Br)c(*)c(Br)c1
138,,R523,*CC(*)(CCl)CCl
139,,R524,*C(CCl)C(*)CCl
140,,R525,*c1nc2cc3nc(*)oc3cc2o1
141,,R530,*c1cc(*)c2ccccc2n1
142,,R531,*c1nc2ccccc2c(*)c1*
143,,R532,*c1ccc2nc(*)c(*)c(*)c2c1
144,,R534,*C(F)(F)C(F)(F)C(*)(F)F
145,,R545,*c1ccc2oc(*)nc2c1
146,,R546,*C=Cc1sc(*)c(*)c1*
147,,R547,*c1nc2cc3sc(*)nc3cc2s1
148,,R549,*c1cocc1*
149,,R551,*c1ccc(*)s1
150,,R552,*C(F)(F)F
151,,R553,*c1nc2ccccc2n1*
152,,R555,*C(F)(F)Cl
153,,R568,*c1ccc2[nH]c(*)nc2c1
154,,R572,*c1ccc2nc3oc4cc5[nH]c6nc7ccc(*)cc7nc6oc5cc4[nH]c3nc2c1
155,,R578,*CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C*
156,,R580,*c1ccc2nc(*)sc2c1
157,,R581,*c1csc(*)n1
158,,R595,*c1ccc2nc3[nH]c4cc5[nH]c6nc7ccc(*)cc7nc6sc5cc4sc3nc2c1
159,,R610,*c1ccc2c(c1)c1cc(*)ccc1n2C
160,,R647,*CC(C*)(CCl)CBr
161,,R650,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(*)(F)F
162,,R656,*c1cc(*)cc(Cl)c1
163,,R660,*n1c2ccccc2c2cc(C=*)ccc21
164,,R663,*c1cc(Cl)c(*)cc1Cl
165,,R664,*c1c(Cl)c(Cl)c(*)c(Cl)c1Cl
166,,R667,*c1cc(I)c(*)c(I)c1
167,,R684,*CCCP(CCC*)CC(C)C
168,,R688,*CCCP(CCC*)c1ccccc1
169,,R722,*c1ccnc(*)c1
170,,R723,*c1ccc(*)nc1
171,,R724,*c1cccc(*)n1
172,,R725,*c1cncc(*)c1
173,,R726,*c1cccnc1*
174,,R727,*c1ccncc1*
175,,R728,*c1cc(*)c(C)nc1C
176,,R734,*c1c[nH]cn1
177,,R752,*c1nc2ccccc2[nH]1
178,,R756,*CC(F)(F)C(F)(F)C*
179,,R763,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(*)(F)F
180,,R764,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(*)(F)F
181,,R765,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(*)(F)F
182,,R781,*C(*)(*)C(F)(F)F
183,,R796,*C(*)(C(F)(F)Cl)C(F)(F)Cl
184,,R807,*c1ccc(C(=C(Cl)Cl)c2ccc(*)cc2)cc1
185,,R808,*c1cc(C)c(*)c(Cl)c1
186,,R816,*c1nc2cc3nc(*)c(*)nc3cc2nc1*
187,,R818,*c1ccn(*)n1
188,,R820,*c1nc(*)nc(*)n1
189,,R821,*c1ncnc(*)n1
190,,R822,*c1nc(*)nc(C)n1
191,,R825,*c1ccc2c(c1)nc(*)n2C
192,,R826,*c1ccc2nc(*)n(C)c2c1
193,,R827,*c1c(*)c(Cl)c(Cl)c(Cl)c1Cl
194,,R829,*c1nnn(*)n1
195,,R830,*c1nnc(*)n1*
196,,R860,*C(Cl)C(*)(Cl)Cl
197,,R891,*c1ncncn1
198,,R895,*c1ccc2ccccc2n1
199,,R907,*CCl
200,,R908,*CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
201,,R909,*CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
202,,R913,*c1ccccc1Br
203,,R924,*CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
204,,R930,*c1ccc(*)c2ncccc12
205,,R931,*c1cccc2cccnc12
206,,R932,*c1ccc(Cl)c2cccnc12
207,,R938,*c1cccc2nsnc12
208,,R939,*c1ccc(*)c2nsnc12
209,,R940,*c1ccc(C)s1
210,,R946,*n1ncc2ccccc21
211,,R950,*C(*)C(*)Cl
212,,R953,*C=C(*)c1nc2ccccc2n1C
213,,R954,*C=C(*)c1nc2ccccc2[nH]1
214,,R957,*C=C(*)c1ccc(Cl)cc1
