,correction,RID,smiles
0,,R0000000110,*c1ccc(C#N)cc1
1,,R0000000182,*CC(*)C#N
2,,R0000000183,*CC(*)(C)C#N
3,,R0000000195,*C1CC(*)(C#N)C1
4,,R0000000304,*CCC#N
5,,R0000000307,*CC#N
6,,R0000000308,*CCCC#N
7,,R0000000411,*C(*)CCC#N
8,,R0000000481,*CC(*)(C#N)C*
9,,R0000000482,*CC(C#N)(C#N)C*
10,,R0000000797,*C(*)(*)C#N
11,,R0000000857,*c1ccc(*)c(C#N)c1
12,,R0000000861,*C1C(*)(C#N)C(*)C1(*)C#N
13,,R0000000900,*C(*)C(*)(C#N)C#N
14,,R0000000905,*CC(*)(*)CC(*)(C#N)C#N
15,,R0000000906,*CC(*)CC(*)(C#N)C#N
16,,R0000000948,*C=CC(C#N)C*
17,,R0000000958,*C(=*)C#N
18,,R0000000970,*C=C(*)C#N
19,,R0000000987,*C(*)(C#N)C#N
20,,R0000001006,*CCCC(*)C#N
21,,R0000001012,*CC(*)(Cl)C#N
22,,R0000001016,*CCC(C#N)CC(=*)C
23,,R0000001017,*C=CC(C)(C)CC(C#N)C*
24,,R0000001018,*C=C(C)CC(C#N)CC*
25,amine imine,R0000001053,*c1ccc(N=Nc2ccc(C#N)cc2)cc1
26,,R0000001054,*=C(C#N)C#N
27,,R0000001068,*C=CC1CC(*)C(C#N)C1
28,,R0000001069,*C=CC1CC(*)C(*)(C#N)C1
29,amine imine,R0000001200,*c1ccc(N=Nc2ccc(N=Nc3ccc(C#N)cc3)cc2C)cc1
30,,R0000001207,*=CC1=C(C#N)C(=*)OC1(C)C
31,amine imine,R0000001213,*c1ccc(N=Nc2ccc(C#N)cc2)c2ccccc12
32,,R0000001359,*c1cccc(*)c1C#N
33,amine imine,R0000001416,*c1ccc(*)c(N=Nc2ccc(C#N)cc2)c1
34,,R0000001488,*c1ccc(C(=*)C#N)cc1
35,amine imine,R0000001518,*c1ccc(N=Nc2ccc(N=Nc3cc(C)c(C#N)c(C)c3)cc2)cc1
36,,R0000001615,*c1ccc(C#N)c(*)c1
37,,R0000001673,*c1cc(C#N)c(*)s1
38,,R0000001689,*C=C(C#N)c1cccc(C(=*)C#N)c1
