,RID,smiles
0,R0000000001,*C*
1,R0000000002,*CC(*)C
2,R0000000003,*CC(*)CC
3,R0000000004,*CC(*)CCC
4,R0000000005,*CC(*)C(C)C
5,R0000000006,*CC(*)CCCC
6,R0000000007,*CC(*)CC(C)C
7,R0000000008,*CC(*)CCCCC
8,R0000000009,*CC(*)CCC(C)C
9,R0000000010,*CC(*)CCC(C)CC
10,R0000000011,*CC(*)CCCCCCC
11,R0000000012,*CC(*)CCCCCCCC
12,R0000000013,*CC(*)(C)C
13,R0000000014,*CC(*)(C)CC
14,R0000000015,*CCC(*)(C)C
15,R0000000016,*CC(C)C(*)(C)C
16,R0000000017,*CCCC(*)(C)C
17,R0000000018,*CCCC(*)(C)CC
18,R0000000019,*CCCCCCCC(*)C
19,R0000000020,*CC(*)*
20,R0000000021,*C1CC1
21,R0000000022,*C1CCC1
22,R0000000023,*C1CCCC1
23,R0000000024,*CC(*)C*
24,R0000000025,*C1CCCCC1
25,R0000000026,*c1ccccc1
26,R0000000027,*CCC(*)C*
27,R0000000028,*CC(*)C(*)C
28,R0000000029,*C1CCC(*)C1
29,R0000000030,*CC(*)CCCCCCCCCC
30,R0000000031,*CC(*)CCCCCCCCCCCC
31,R0000000032,*CC(*)CCCCCCCCCCCCCCCC
32,R0000000033,*CC(*)CCCC(C)C
33,R0000000034,*CC(*)C(C)CC
34,R0000000035,*CC(*)C(CC)CC
35,R0000000036,*CC(*)CC(CC)CC
36,R0000000037,*CC(*)CC(C)CC
37,R0000000038,*CC(*)CC(C)(C)C
38,R0000000039,*CC(*)CC(C)(C)CC
39,R0000000040,*CC(*)CCCC(C)(C)C
40,R0000000041,*CCCC(*)C*
41,R0000000042,*C1(*)CCC(C)CC1
42,R0000000043,*CC(*)(C)CCC
43,R0000000044,*C=CCCC*
44,R0000000045,*C=CCC*
45,R0000000046,*C(*)C
46,R0000000047,*C=C*
47,R0000000048,*CCC(C)C(*)C
48,R0000000049,*CC*
49,R0000000050,*C1CCCC1*
50,R0000000051,*C=CCCCCCCCC*
51,R0000000052,*CC(*)CCCCCCCCCCCCCCCCCCCC
52,R0000000053,*CC(*)CCCCCCCCCCCCCC
53,R0000000054,*C=CCCCCCC*
54,R0000000055,*CC(*)C(C)(C)C
55,R0000000056,*C=CCCCC*
56,R0000000057,*CC(*)CCCCCCCCCCCCC
57,R0000000058,*C(*)CC
58,R0000000059,*CC(*)CCCCCCCCCCC
59,R0000000060,*CC(*)CCCCCCCCC
60,R0000000061,*C1CCCC(C)C1
61,R0000000062,*C1CCC(C)CC1
62,R0000000063,*C1CC=CCC1
63,R0000000064,*CCC=*
64,R0000000065,*C(=*)CCCCCCC
65,R0000000066,*C(=*)C(C)C
66,R0000000067,*CC(*)CCC(C)(C)C
67,R0000000068,*C1CCC1*
68,R0000000069,*C=CCCCCC*
69,R0000000070,*C=CC1CCC(*)C1
70,R0000000071,*C=CC(C*)C(C)CC
71,R0000000072,*C(=*)CCC
72,R0000000073,*C1(*)CCCCC1
73,R0000000074,*C=CC(C)CCCCC*
74,R0000000075,*C(=*)C(C)(C)C
75,R0000000076,*c1ccccc1C
76,R0000000077,*c1ccccc1*
77,R0000000078,*CC
78,R0000000081,*CCC
79,R0000000082,*C(C)C
80,R0000000083,*CCCC
81,R0000000084,*CCCCC
82,R0000000085,*CCC(C)C
83,R0000000091,*CC(C)C
84,R0000000092,*CCCCCC
85,R0000000093,*c1ccc(*)cc1
86,R0000000096,*c1cccc(C)c1
87,R0000000097,*c1cccc(*)c1
88,R0000000100,*c1ccc(C)cc1
89,R0000000101,*C(C)(C)C
90,R0000000102,*C(C)CC
91,R0000000103,*CCCCCCCC
92,R0000000104,*CCCCCCCCC
93,R0000000105,*CCCCCCCCCC
94,R0000000106,*CCCCCCCCCCCC
95,R0000000107,*CCCCCCCCCCCCCC
96,R0000000108,*CCCCCCCCCCCCCCCC
97,R0000000109,*CCCCCCCCCCCCCCCCCC
98,R0000000137,*c1ccc(C)cc1C
99,R0000000138,*c1ccc(*)c(*)c1
100,R0000000142,*c1cc(C)ccc1C
101,R0000000143,*c1ccc(C)c(*)c1
102,R0000000148,*c1cc(C)cc(C)c1
103,R0000000149,*c1ccc(C)c(C)c1
104,R0000000153,*c1c(C)cc(C)cc1C
105,R0000000154,*c1cc(C)c(C)cc1C
106,R0000000156,*CC(*)(*)C
107,R0000000158,*c1cccc2ccccc12
108,R0000000162,*c1ccc2ccccc2c1
109,R0000000167,*CC(*)C(*)C(*)*
110,R0000000170,*CCCCCC*
111,R0000000171,*CC(CC)CCCC
112,R0000000187,*C#CC(=*)C*
113,R0000000189,*CC(*)=*
114,R0000000191,*C(*)C(*)C
115,R0000000192,*CC(C)(C)C
116,R0000000193,*C=CC(*)C*
117,R0000000201,*C(=*)c1ccccc1
118,R0000000210,*CC(C)(C)CC
119,R0000000235,*C=C(*)c1ccccc1
120,R0000000242,*CCCCCCC
121,R0000000243,*C1(C)CCCCC1
122,R0000000248,*C1Cc2ccccc2C1*
123,R0000000249,*C(=*)C
124,R0000000253,*CCCC=*
125,R0000000254,*C(=*)c1ccc(*)cc1
126,R0000000256,*C1CC(*)C(*)C1*
127,R0000000257,*C1CC(*)C(*)C1
128,R0000000260,*CC(C)(C)CC(C)C
129,R0000000263,*C1CC2C(*)C(*)CC2C1*
130,R0000000265,*CC=C
131,R0000000266,*C1CC2CCC1(C)C2(C)C
132,R0000000276,*CCC*
133,R0000000280,*CCCCC*
134,R0000000284,*C1CCCCC1C
135,R0000000285,*C1CC(C)CC(C)(C)C1
136,R0000000296,*C(CC)CC
137,R0000000299,*CC(C)CC
138,R0000000300,*C(C)CCCCC
139,R0000000301,*CC(CC)CC
140,R0000000302,*C(C)CC(C)C
141,R0000000303,*C(CCC(CC)CCCC)CC(C)C
142,R0000000306,*CCCC*
143,R0000000309,*C12CC3CC(C)(C1)CC(C)(C3)C2
144,R0000000311,*CCC(C)(C)C
145,R0000000312,*C(C)C(C)(C)C
146,R0000000313,*CCC(C)CC(C)(C)C
147,R0000000322,*C12CC3CC(CC(C3)C1)C2
148,R0000000326,*CC(C)CCC
149,R0000000327,*CCC(*)C
150,R0000000328,*C1CCC(*)CC1
151,R0000000344,*C(C)CCC(CC)CCCC
152,R0000000345,*CC#C
153,R0000000347,*CCCCCCCCC=*
154,R0000000348,*=CCCCCCCCC
155,R0000000349,*C1CCC2(C)C(=CCC3C2CCC2(C)C(*)CCC32)C1
156,R0000000350,*C(C)CCCC(C)C
157,R0000000351,*C1CCCCCCCCCCC1
158,R0000000390,*C=CC(C)C*
159,R0000000391,*CCC(=*)C
160,R0000000392,*C=CC(C*)CC
161,R0000000393,*C=CC(C*)CCC
162,R0000000394,*C1C=CC(*)CC1
163,R0000000395,*CC(*)=C
164,R0000000396,*CC(*)C=C
165,R0000000397,*CC(*)C=*
166,R0000000398,*=CC
167,R0000000399,*=C(C)C
168,R0000000400,*C=CC(C)C(*)C
169,R0000000401,*C=CC(C)(C)C(*)(C)C
170,R0000000403,*CC(C)C=*
171,R0000000404,*C=CC=*
172,R0000000405,*C1C=CC(*)C1
173,R0000000408,*C(*)(C)C
174,R0000000409,*C(*)CCC
175,R0000000410,*C(*)C(C)C
176,R0000000412,*C(*)CCCC
177,R0000000419,*C(C)C(*)C
178,R0000000420,*C(C)C(*)(C)C
179,R0000000421,*C(C)(C)C(*)(C)C
180,R0000000423,*CC(C)(C)C*
181,R0000000425,*CC(C*)(C*)C*
182,R0000000429,*c1cc(C)c(*)c(C)c1
183,R0000000430,*c1cc(*)c(*)c(C)c1
184,R0000000431,*C(C)CCC
185,R0000000432,*C(C)CCCC
186,R0000000433,*c1cc(*)c(*)c(*)c1
187,R0000000434,*C1C(C)(C)C(*)C1(C)C
188,R0000000442,*c1cc(C)c(*)cc1C
189,R0000000454,*C(*)CCCCCC
190,R0000000463,*C(*)(C)CC
191,R0000000472,*CC(C)C*
192,R0000000478,*CC1(C*)c2ccccc2-c2ccccc21
193,R0000000479,*C(C)CC(*)(C)C
194,R0000000484,*c1ccc(*)c(C)c1
195,R0000000485,*C1CCC(*)(C)C(*)C1
196,R0000000490,*C(*)(*)C
197,R0000000491,*c1ccc(C=*)cc1
198,R0000000492,*c1ccc(C(=*)C)cc1
199,R0000000493,*C1CCCCC1*
200,R0000000494,*C1CCC(*)(C)CC1
201,R0000000495,*c1ccc(C2(C)CC(C)(C)c3cc(*)ccc32)cc1
202,R0000000496,*C1CCCC(*)(*)C1
203,R0000000499,*c1c(C)c(C)c(*)c(C)c1C
204,R0000000510,*C1CCCC(*)C1
205,R0000000511,*C(*)(*)*
206,R0000000512,*C1(*)CC2CCC1C2
207,R0000000516,*CC(C*)(CC)CC
208,R0000000518,*C(*)CCCCCCCC
209,R0000000519,*C1(*)CC=CCC1
210,R0000000520,*C1(*)CC=C(C)CC1
211,R0000000521,*C1CC1*
212,R0000000522,*c1ccc(*)c2ccccc12
213,R0000000533,*CC#CC#CC*
214,R0000000535,*c1cc(*)cc(*)c1
215,R0000000540,*c1c(C)cccc1C
216,R0000000542,*CC(C*)C(C)(C)C
217,R0000000543,*CC(C)(C*)CC
218,R0000000550,*C(*)C(*)*
219,R0000000558,*c1cccc2c(*)cccc12
220,R0000000559,*c1cc2ccccc2cc1*
221,R0000000560,*c1ccc2cc(*)ccc2c1
222,R0000000561,*c1ccc2ccc(*)cc2c1
223,R0000000563,*=Cc1ccc(C=*)cc1
224,R0000000565,*c1ccc(C2(c3ccc(*)cc3)c3ccccc3-c3ccccc32)cc1
225,R0000000567,*c1c(*)c(*)c(*)c(*)c1*
226,R0000000570,*c1cccc(*)c1*
227,R0000000597,*CC#CC*
228,R0000000599,*C(C)CCC(*)C
229,R0000000601,*CC(C)C(C)C*
230,R0000000602,*CC(CC)C(C*)CC
231,R0000000603,*CC(CCC)C(C*)CCC
232,R0000000604,*CC(CCCC)C(C*)CCCC
233,R0000000605,*CC(CCCCCCCCCC)C(C*)CCCCCCCCCC
234,R0000000606,*CC(CCCCCCCCCCCCCCCC)C(C*)CCCCCCCCCCCCCCCC
235,R0000000607,*CC(C(C)C)C(C*)C(C)C
236,R0000000608,*CCC(C)CC
237,R0000000609,*C1CC2CCC1C2
238,R0000000640,*C1CC1(*)C
239,R0000000641,*C1C(*)C1C
240,R0000000652,*C(*)*
241,R0000000653,*c1cc(*)cc(C)c1
