,correction,RID,smiles
0,,R179,*CC(*)C(C)=O
1,,R180,*CC(*)C(=O)C(C)C
2,,R181,*CC(*)(C)C(C)=O
3,,R197,*CC(*)C(=O)C(C)(C)C
4,,R212,*CC(*)(F)C(C)=O
5,,R775,*=CC(=O)C=*
6,,R994,*C(=O)CC(C)=O
7,,R1043,*CC(*)C(=O)CC
8,,R1046,*C=C(*)C(C)=O
9,,R1047,*C=C(*)C(=O)CC
10,,R1083,*C12CCC(CC1=O)C2(C)C
11,,R1089,*C1CCCC(*)(*)C1=O
12,,R1118,*C(C)(C)CC(C)=O
13,,R1126,*c1ccc2c(c1)C(=O)c1ccccc1C2=O
14,,R1182,*=CC(=O)C1c2ccccc2C(=O)c2ccccc21
15,,R1340,*C(=O)CCCCCC(=O)CCCCCCCCC(=O)CCCCCC(*)=O
16,,R1376,*c1ccc(C2(c3ccc(*)cc3)c3ccccc3C(=O)c3ccccc32)cc1
17,,R1378,*c1cc(*)c2cc(C3(c4ccc5nc(*)cc(*)c5c4)c4ccccc4C(=O)c4ccccc43)ccc2n1
18,,R1410,*=C1CCC(=*)C1=O
19,,R1411,*=C1CCCC(=*)C1=O
20,,R1412,*=C1CCCCC(=*)C1=O
21,,R1425,*C=CC(=O)C=*
22,,R1427,*C=CC(=O)C(=*)C
23,,R1428,*C=C1CCCC(=*)C1=O
24,,R1429,*C=C1CCC(=*)C1=O
25,,R1430,*C=C1CCCCC(=*)C1=O
26,,R1446,*NC1=C(Cl)C(=O)C(N*)=C(Cl)C1=O
27,,R1450,*OC1=CC(=O)C(*)=CC1=O
28,,R1552,*c1cc2c(s1)-c1sc(*)cc1C2=O
29,,R1556,*c1cccc2c1C(=O)c1cccc(*)c1C2=O
30,,R1557,*c1ccc(*)c2c1C(=O)c1ccccc1C2=O
31,,R1575,*c1cccc2c1C(=O)c1c(*)cccc1C2=O
32,,R1693,*=C1C=C(C(C)(C)C)C(=O)C(C(C)(C)C)=C1
33,,R1749,*C1C(=O)C2CCC1C(=O)C2*
34,,R1750,*C1CC(=O)C(*)CC1=O
35,,R1898,*C(C)C(C)=O
36,,R1931,*c1cccc2c1C(=O)c1ccccc1C2=O
