,correction,RID,smiles,
101,,R2784,*NC(=*)OC,"NC-O"
102,,R2785,*NC(=*)O*,"NC-O"
112,,R2961,*CCN=O,"N=O"
203,,R2031,*NC(=S)N=Cc1ccc(Cl)c(*)c1
440,,R1915,*NC(=S)S*
85,,R515,*SC(*)=O
92,,R583,*SSC(*)=O
93,,R584,*C(=O)SSC(*)=O
94,,R588,*C(=O)SSSSC(*)=O
95,,R589,*C(=O)SSSC(*)=O
98,,R596,*CCCCCC(=O)S*
116,,R626,*SC(=O)CCCCC(=O)S*
118,,R628,*SC(=O)CCCCCCCCC(=O)S*
120,,R630,*C(=O)SN1CCN(*)CC1
131,,R643,*CCC(C)CCC(=O)S*
187,,R790,*C(=O)SC(*)=O
189,,R804,*C(=O)SN1CC(C)N(*)CC1C
265,,R1112,*CC(*)C(=O)S*
323,,R1443,*SC(=O)S*
379,,R1744,*CCCCC(=O)S*
392,,R1766,*SC(=O)C(=O)S*
393,,R1767,*SC(=O)CCC(=O)S*
398,,R1776,*SC(=O)C(*)=O
399,,R1777,*SC(=O)CCC(*)=O
400,,R1778,*SC(=O)CCCCC(*)=O
401,,R1779,*SC(=O)CCCCCCC(*)=O
462,,R2044,*NSC(*)=O
463,,R2045,*C(=O)SN(*)C
117,,R627,*OC(=S)c1cccc(C(=S)O*)c1
130,,R642,*OC(=S)c1cccc(C(*)=S)c1
139,,R671,*OC(=S)O*
188,,R798,*OC(*)=S
546,,R2380,*C(=S)OC(=S)c1ccc(*)s1
548,,R2382,*OC(=S)c1ccc(*)cc1
553,,R2387,*C(=S)OC(=S)c1ccc(*)cc1
554,,R2388,*OC(=S)c1ccc(*)s1
558,,R2395,*CCC(=S)O*
568,,R2414,*CC(=S)OC(*)=S
573,,R2421,*CNC(=S)O*
574,,R2423,*CNOC(*)=S
575,,R2425,*COC(=S)O*
576,,R2428,*C(=O)C(=S)OC(*)=S
580,,R2432,*OC(=S)C(*)=O
587,,R2441,*NC(=S)OC(*)=S
588,,R2442,*NOC(=S)O*
589,,R2444,*OC(=S)NC(=S)c1ccc(*)cc1
590,,R2447,*NC(=S)O*
595,,R2453,*OC(=S)C(F)(F)C(*)(F)F
175,,R754,*NNC(=S)c1ccc(C(*)=S)cc1
236,,R979,*N1CCCC1=S
426,,R1884,*C(=S)N(*)C
427,,R1885,*C(=S)N(*)*
436,,R1905,*NC(=S)C=*
439,,R1914,*NC(*)=S
442,,R1926,*NC(=S)N*
443,,R1930,*NC(=S)NS(*)=O
459,,R2010,*C(=O)C1=C(C)N(*)C(=S)N(*)C1*
461,,R2030,*NNC(=S)NC(=S)C=*
566,,R2412,*CC(=S)NC(*)=S
567,,R2413,*CC(=S)NO*
569,,R2417,*CNC(=S)c1ccc(*)s1
570,,R2418,*CNC(=S)c1ccc(*)cc1
571,,R2419,*CNC(=S)C(*)=O
572,,R2420,*CNC(=S)N*
581,,R2434,*NC(=S)c1ccc(C(*)=S)s1
582,,R2435,*NC(=S)c1ccc(*)s1
583,,R2436,*NC(=S)c1ccc(*)cc1
584,,R2438,*NC(=S)C(*)=O
585,,R2439,*NC(=S)NC(*)=S
586,,R2440,*NC(=S)NO*
600,,R2471,*NC(=S)c1ccc(C(*)=S)cc1
217,,R975,*CC(*)P(=S)(c1ccccc1)c1ccccc1
443,,R2170,*N=P(*)=S
479,,R2360,*CCCP(*)(=S)c1ccccc1
480,,R2361,*CCCCP(*)(=S)c1ccccc1
49,,R318,*CCS(=O)CC
218,,R986,*CC(*)S(C)=O
223,,R1009,*CC(*)S(=O)c1ccc(F)cc1
224,,R1010,*CC(*)S(=O)c1ccc(Cl)cc1
225,,R1011,*CC(*)S(=O)c1ccc(*)cc1
227,,R1026,*CC(*)S(=O)c1ccccc1
456,,R2265,*CCCS(*)=O
411,,R2074,*NS(=O)N*
85,,R517,*c1ccc(S(=O)c2ccc(*)cc2)cc1
90,,R569,*OS(=O)c1cccc(S(=O)O*)c1
535,,R2676,*OS(=O)c1ccc(*)cc1
548,,R2987,*c1ccc(S(=O)S(=O)c2ccc(*)cc2)cc1
333,,R1634,*c1ccc(S(*)=O)cc1





