,,,RID,smiles
40,,,R244,*CC(*)P(=O)(c1ccccc1)c1ccccc1
41,,,R245,*CC(*)P(=O)(O*)N(C)C
89,,,R566,*c1ccc(P(=O)(c2ccccc2)c2ccc(*)cc2)cc1
135,,,R686,*CCCCP(C)(=O)CCC*
136,,,R687,*CCCP(C)(=O)CCC*
137,,,R689,*CCCP(=O)(CCC*)c1ccccc1
215,,,R942,*CC(*)P(=O)(N(C)C)N(C)C
252,,,R1171,*CP(=O)(O*)O*
271,,,R1317,*OP(=O)(O*)O*
289,,,R1396,*c1ccc(P(C)(=O)c2ccc(*)cc2)cc1
296,,,R1449,*OP(=O)(O*)c1ccccc1
297,,,R1452,*OP(=O)(N=Nc1ccc(*)cc1)O*
298,,,R1453,*OP(=O)(N=Nc1ccc(*)cc1)OC
305,,,R1517,*OP(=O)(O)O*
320,,,R1550,*C(*)(P1(=O)Oc2ccccc2-c2ccccc21)P1(=O)Oc2ccccc2-c2ccccc21
326,,,R1591,*OP(=O)(O*)OC
332,,,R1616,*c1cccc(P(=O)(c2ccccc2)c2cccc(*)c2)c1
390,,,R1912,*c1ccc(N=Nc2ccc(P(=O)(c3ccccc3)c3ccccc3)cc2)cc1
399,,,R1987,*c1cccc(P(=O)(c2cccc(*)c2)c2cc(*)cc(*)c2)c1
400,,,R1988,*c1ccc(P(=O)(c2cccc(*)c2)c2cccc(*)c2)cc1
402,,,R1992,*c1cccc(P(C)(=O)c2cccc(*)c2)c1
403,,,R1993,*c1ccc(P(=O)(c2ccccc2)c2ccccc2)c(*)c1
558,,,R3016,*CC(*)(*)[PH](=O)O*
