,,,RID,smiles
355,,,R1773,*SC(*)=S
389,,,R1906,*C(=S)C=*
482,,,R2378,*C(=S)c1ccc(*)s1
483,,,R2379,*c1ccc(C(=S)c2ccc(*)s2)s1
484,,,R2381,*C(=S)c1ccc(*)cc1
485,,,R2383,*C(=S)c1ccc(C(=S)c2ccc(*)cc2)s1
486,,,R2384,*c1ccc(C(=S)c2ccc(*)s2)cc1
487,,,R2385,*C(=S)c1ccc(C(=S)c2ccc(*)cc2)cc1
488,,,R2386,*c1ccc(C(=S)c2ccc(*)cc2)cc1
489,,,R2389,*CC(*)=S
491,,,R2393,*CCCC(*)=S
492,,,R2404,*CC(=S)c1ccc(C(*)=S)s1
493,,,R2405,*CC(=S)c1ccc(*)s1
494,,,R2406,*CC(=S)c1ccc(C(*)=S)cc1
495,,,R2407,*CC(=S)c1ccc(*)cc1
496,,,R2408,*CC(=S)CC(*)=S
497,,,R2409,*CC(=S)C*
502,,,R2448,*C(=S)C(*)(F)F
504,,,R2450,*C(=S)CC(F)(F)C(*)(F)F
507,,,R2456,*C(=S)C(F)(F)CC(*)(F)F
508,,,R2459,*C(F)(F)C(=S)C(*)(F)F
515,,,R2506,*CC(=S)c1ccc(C(=S)C*)s1
524,,,R2585,*c1ccc(S(=C)(=C)c2ccc(*)cc2)cc1
