,correction,RID,id,smiles
226,,acid,R896,*c1ccc(S(=O)(=O)O)cc1
276,,acid,R1167,*C(C)(C)CS(=O)(=O)O
258,,acid,R1102,*C(=*)CCS(=O)(=O)O
372,,acid,R1656,*CCS(=O)(=O)O
333,,acid,R1493,*c1ccc(*)c(S(=O)(=O)O)c1
360,,acid,R1583,*c1ccc(S(=O)(=O)O)c(C)c1
505,,acid,R2196,*c1cc(*)cc(S(=O)(=O)O)c1
353,,acid,R1558,*OS(=O)(=O)O
373,,acid,R1666,*CCCS(=O)(=O)O
355,,acid,R1574,*c1ccc(S(=O)(=O)c2ccc(*)c(S(=O)(=O)O)c2)cc1S(=O)(=O)O
345,,acid,R1544,*CCCCS(=O)(=O)O
376,,acid,R1703,*c1ccc(S(*)(=O)=O)cc1S(=O)(=O)O
359,,acid,R1581,*c1cccc(S(=O)(=O)O)c1
536,,acid,R2285,*c1ccc(S(=O)(=O)c2ccc(S(*)(=O)=O)c(S(=O)(=O)O)c2)cc1S(=O)(=O)O
636,,acid,R2907,*c1ccc(N=Nc2ccc(S(=O)(=O)O)cc2)cc1
71,,,,*c1cccc(S(=O)(=O)O)c1
91,,,,*c1ccc(N=Nc2ccc(S(=O)(=O)O)cc2)cc1
119,,,,*CCS(=O)(=O)O
127,,,,*c1cc(*)cc(S(=O)(=O)O)c1
155,,,,*C(C)(C)CS(=O)(=O)O
156,,,,*c1ccc(S(=O)(=O)O)c(C)c1
171,,,,*C(=O)C(CCCCCCCCCCP(=O)(O)O)C(*)=O
205,,,,*c1ccc(S(=O)(=O)c2ccc(*)c(S(=O)(=O)O)c2)cc1S(=O)(=O)O
212,,,,*C(=*)CCS(=O)(=O)O
270,,,,*CCCS(=O)(=O)O
277,,,,*CCCCS(=O)(=O)O
278,,,,*OS(=O)(=O)O
297,,,,*c1ccc(*)c(S(=O)(=O)O)c1
355,,,,*c1ccc(S(=O)(=O)O)cc1
71,,,,*c1cccc(S(=O)(=O)O)c1
91,,,,*c1ccc(N=Nc2ccc(S(=O)(=O)O)cc2)cc1
119,,,,*CCS(=O)(=O)O
127,,,,*c1cc(*)cc(S(=O)(=O)O)c1
155,,,,*C(C)(C)CS(=O)(=O)O
156,,,,*c1ccc(S(=O)(=O)O)c(C)c1
171,,,,*C(=O)C(CCCCCCCCCCP(=O)(O)O)C(*)=O
205,,,,*c1ccc(S(=O)(=O)c2ccc(*)c(S(=O)(=O)O)c2)cc1S(=O)(=O)O
212,,,,*C(=*)CCS(=O)(=O)O
270,,,,*CCCS(=O)(=O)O
277,,,,*CCCCS(=O)(=O)O
