,correction,RID,smiles
8,,R135,*OS(=O)(=O)c1ccc(*)cc1
17,,R188,*OS(=O)(=O)c1ccc(C)cc1
43,,R252,*C#CC(OS(=O)(=O)c1ccc(C)cc1)=C(*)OS(=O)(=O)c1ccc(C)cc1
45,,R281,*S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
56,,R337,*c1ccc(S(=O)(=O)c2ccc(O)cc2)cc1
57,,R338,*c1ccc(S(=O)(=O)c2ccc(*)cc2)cc1
58,,R339,*c1c(Br)cc(S(=O)(=O)c2cc(Br)c(O)c(Br)c2)cc1Br
59,,R340,*c1c(Br)cc(S(=O)(=O)c2cc(Br)c(*)c(Br)c2)cc1Br
75,,R467,*c1nc2ccc(S(=O)(=O)c3ccc4nc(*)c(*)nc4c3)cc2nc1*
79,,R505,*c1ccc(S(=O)(=O)c2cccc(*)c2)cc1
80,,R507,*c1ccc2oc3ccc(S(*)(=O)=O)cc3c2c1
81,,R508,*c1ccc(S(=O)(=O)c2ccc3oc4ccc(*)cc4c3c2)cc1
82,,R509,*c1ccc(S(*)(=O)=O)cc1
83,,R513,*c1ccc(S(=O)(=O)c2ccc3ccc(S(=O)(=O)c4ccc(*)cc4)cc3c2)cc1
86,,R526,*C(=O)CCCCS(=O)(=O)CCCCC(*)=O
87,,R562,*S(=O)(=O)c1cccc(S(*)(=O)=O)c1
113,,R629,*c1ccc(S(=O)(=O)CCCCCCS(=O)(=O)c2ccc(*)cc2)cc1
114,,R631,*CS(=O)(=O)C*
115,,R632,*CS(=O)(=O)CCCC(*)=O
126,,R654,*CC(C)(C)CS(=O)(=O)CC(C)(C)C*
143,,R706,*c1cccc(S(*)(=O)=O)c1
161,,R748,*S(*)(=O)=O
163,,R751,*c1cc(*)cc(S(=O)(=O)c2ccccc2)c1
164,,R753,*c1ccc(S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1
167,,R770,*c1cccc(S(=O)(=O)c2cccc(*)c2)c1
170,,R780,*c1cc2c(cc1C)-c1cc(C)c(*)cc1S2(=O)=O
171,,R783,*C(=O)CS(=O)(=O)CCS(=O)(=O)CC(*)=O
172,,R784,*C(=O)CCS(=O)(=O)CCS(=O)(=O)CCC(*)=O
173,,R785,*C(=O)CCS(=O)(=O)CCC(*)=O
174,,R787,*CS(=O)(=O)CC(*)=O
175,,R788,*CS(=O)(=O)CCC(*)=O
180,,R812,*CCS(=O)(=O)CC*
183,,R815,*c1cnc2ccc(S(=O)(=O)c3ccc4ncc(*)nc4c3)cc2n1
184,,R817,*c1cnc2cc(S(=O)(=O)c3ccc4nc(*)cnc4c3)ccc2n1
185,,R819,*c1ccc2[nH]c(S(=O)(=O)c3nc4ccc(*)cc4[nH]3)nc2c1
196,,R841,*OS(=O)(=O)c1cccc(*)c1
197,,R842,*OS(=O)(=O)c1cccc(S(=O)(=O)O*)c1
198,,R843,*CCCCCCS(*)(=O)=O
199,,R844,*CCCCCCS(=O)(=O)CCCCCS(*)(=O)=O
200,,R845,*CCCCCCS(=O)(=O)CCCCS(*)(=O)=O
201,,R846,*CCCCCS(*)(=O)=O
202,,R847,*CCCCCS(=O)(=O)CCCCS(*)(=O)=O
203,,R848,*C1CCCCC1S(*)(=O)=O
204,,R849,*C1CCCC(S(*)(=O)=O)C1
205,,R850,*CC(*)S(*)(=O)=O
206,,R851,*CCCCS(*)(=O)=O
207,,R852,*CCCS(*)(=O)=O
208,,R853,*CC(C)(C)CS(*)(=O)=O
209,,R854,*CC(C)S(*)(=O)=O
210,,R855,*CC(C)(CC)CS(*)(=O)=O
211,,R856,*CS(=O)(=O)C1CCC(*)S(=O)(=O)C1
230,,R1027,*CC(*)S(=O)(=O)c1ccccc1
232,,R1055,*C=C(*)c1ccc(S(=O)(=O)c2ccccc2)cc1
236,,R1082,*CS(*)(=O)=O
237,,R1084,*S(=O)(=O)CCCCCCCC
240,,R1105,*S(=O)(=O)CC
241,,R1106,*S(=O)(=O)CCC
242,,R1107,*S(=O)(=O)CCCC
243,,R1108,*S(=O)(=O)c1ccccc1
244,,R1109,*S(=O)(=O)c1ccc(C)cc1
245,,R1110,*S(=O)(=O)c1cccc2ccccc12
250,,R1134,*C(C)(C)CS(N)(=O)=O
251,,R1138,*c1ccc(N=Nc2ccc(S(C)(=O)=O)cc2)cc1
258,,R1186,*c1ccc(N=Nc2ccc(S(*)(=O)=O)cc2)cc1
259,,R1189,*S(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
261,,R1201,*CCS(=O)(=O)c1ccc(N=Nc2ccc(*)cc2)cc1
265,,R1219,*=C(C#N)S(C)(=O)=O
268,,R1284,*c1cnc2cc(S(=O)(=O)c3ccc4ncc(*)nc4c3)ccc2n1
269,,R1293,*c1ccc(S(=O)(=O)c2ccc(*)c(C)c2)cc1C
270,,R1294,*c1c(C)cc(S(=O)(=O)c2cc(C)c(*)c(C)c2)cc1C
274,,R1321,*c1ccc2c(c1)-c1cc(*)ccc1S2(=O)=O
277,,R1370,*CC(*)CS(C)(=O)=O
278,,R1371,*CC(*)CS(=O)(=O)CC
279,,R1372,*CC(*)CS(=O)(=O)CCC
280,,R1373,*CC(*)CS(=O)(=O)C(C)C
281,,R1374,*CC(*)CS(=O)(=O)CCCC
282,,R1375,*CC(*)CS(=O)(=O)CCCCC
283,,R1379,*CC(C*)(CS(C)(=O)=O)CS(C)(=O)=O
284,,R1380,*CC(C*)(CS(=O)(=O)CC)CS(=O)(=O)CC
285,,R1381,*CC(C*)(CS(=O)(=O)C(C)C)CS(=O)(=O)C(C)C
