,,,RID,smiles
0,,ketone,R86,*C(*)=O
1,,ketone,R126,*CCC(*)=O
2,,ketone,R127,*C(=O)CC
3,,ketone,R128,*C(=O)CCC
4,,ketone,R129,*C(=O)CCCC
5,,ketone,R130,*C(=O)CCCCC
6,,ketone,R131,*C(=O)CCCCCCC
7,,ketone,R132,*CC(*)=O
8,S=O,ester,R135,*OS(=O)(=O)c1ccc(*)cc1
9,,ketone,R159,*C(C)=O
10,,ketone,R160,*CC(*)(*)C(*)=O
11,,ketone,R161,*C(=O)C(F)(F)F
12,,ketone,R173,*CC(*)CC(*)(C#N)C(*)=O
13,,ketone,R176,*C(=O)CCCCCCCCCCC
14,,ketone,R177,*C(=O)CCCCCCCCCCCCCCC
15,,ketone,R178,*C(=O)CCCCCCCCCCCCCCCCC
16,,ketone,R186,*C=CC(C)C(*)C(*)=O
17,S=O,ester,R188,*OS(=O)(=O)c1ccc(C)cc1
18,,ketone,R190,*OC=O
19,,ketone,R194,*C=CCC(C)(CC*)C(*)=O
20,,ketone,R198,*CC(*)C(*)=O
21,,ketone,R199,*C(=O)CCCCCCCCCCCCC
22,,ketone,R214,*C(=O)CCCC(*)=O
23,,ketone,R216,*CCCC(*)=O
24,,ketone,R217,*C(=O)C(C)(CC)C(C)(C)C
25,,ketone,R218,*C(=O)C(F)(F)C(F)(F)C(F)(F)F
26,,ketone,R220,*C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
27,,ketone,R221,*C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
28,,ketone,R222,*C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
29,,ketone,R223,*C(=O)C(F)(F)C(F)(F)F
30,,ketone,R224,*C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
31,,ketone,R225,*C(=O)C(C)(C(C)C)C(C)C
32,,ketone,R226,*C(=O)CC(*)(C)C
33,,ketone,R227,*C(=O)C(C)(C)CCC
34,,ketone,R228,*C(=O)C(C)(C)C(C)(C)CC
35,,ketone,R229,*C(=O)C(C)(C)C(C)C(C)C
36,,ketone,R230,*C(=O)C(C)(C)CC(C)(C)C
37,,ketone,R232,*C(=O)C(C)(C)C
38,,ketone,R237,*C(=O)CCl
39,,ketone,R241,*CC(*)(CC(*)=O)C(*)=O
40,P,?,R244,*CC(*)P(=O)(c1ccccc1)c1ccccc1
41,P,?,R245,*CC(*)P(=O)(O*)N(C)C
42,,ketone,R247,*C(=O)CCCCCCCCC
43,S=O,ester,R252,*C#CC(OS(=O)(=O)c1ccc(C)cc1)=C(*)OS(=O)(=O)c1ccc(C)cc1
44,,ketone,R259,*C(=O)CCCCCCCCCCCCCCCCCCCCC
45,S=O,ester,R281,*S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
46,,ketone,R283,*CC(*)(C)C(*)=O
47,,ketone,R294,*CC(*)(Cl)C(*)=O
48,,ketone,R298,*CC(*)(C#N)C(*)=O
49,S=O,ketone sulfoxide,R318,*CCS(=O)CC
50,,ketone,R323,*CC(*)(CC)C(*)=O
51,,ketone,R324,*CC(*)(F)C(*)=O
