,rid,smiles,category
0,R1000001,[*]C[*],known
10,R1000002,[*]CC([*])C,known
36,R1000003,[*]CC([*])CC,known
50,R1000004,[*]CC([*])CCC,known
57,R1000005,[*]CC([*])C(C)C,known
60,R1000006,[*]CC([*])CCCC,known
64,R1000007,[*]CC([*])CC(C)C,known
75,R1000008,[*]CC([*])CCCCC,known
78,R1000009,[*]CC([*])CCC(C)C,known
80,R1000010,[*]CC([*])CCC(C)CC,known
81,R1000011,[*]CC([*])CCCCCCC,known
84,R1000012,[*]CC([*])CCCCCCCC,known
88,R1000013,[*]CC([*])(C)C,known
100,R1000014,[*]CC([*])(C)CC,known
101,R1000015,[*]CCC([*])(C)C,known
103,R1000016,[*]CC(C)C([*])(C)C,known
104,R1000017,[*]CCCC([*])(C)C,known
105,R1000018,[*]CCCC([*])(C)CC,known
106,R1000019,[*]CCCCCCCC([*])C,known
110,R1000020,[*]CC([*])C1CC1,known
111,R1000021,[*]CC([*])C1CCC1,known
112,R1000022,[*]CC([*])C1CCCC1,known
114,R1000023,[*]CC([*])CC1CCCC1,known
116,R1000024,[*]CC([*])C1CCCCC1,known
124,R1000025,[*]CC([*])CC1CCCCC1,known
126,R1000026,[*]CC([*])Cc1ccccc1,known
128,R1000027,[*]CC([*])CCc1ccccc1,known
130,R1000028,[*]CC([*])C(C)c1ccccc1,known
131,R1000029,[*]CC1CCC([*])C1,known
136,R1000030,[*]CC([*])CCCCCC,known
140,R1000031,[*]CC([*])CCCCCCCCCC,known
142,R1000032,[*]CC([*])CCCCCCCCCCCC,known
144,R1000033,[*]CC([*])CCCCCCCCCCCCCCCC,known
149,R1000034,[*]CC([*])CCCC(C)C,known
151,R1000035,[*]CC([*])C(C)CC,known
152,R1000036,[*]CC([*])C(CC)CC,known
153,R1000037,[*]CC([*])CC(CC)CC,known
154,R1000038,[*]CC([*])CC(C)CC,known
155,R1000039,[*]CC([*])CC(C)(C)C,known
156,R1000040,[*]CC([*])CC(C)(C)CC,known
157,R1000041,[*]CC([*])CCCC(C)(C)C,known
158,R1000042,[*]CC([*])CCC1CCCCC1,known
160,R1000043,[*]CC([*])CCCC1CCCCC1,known
164,R1000044,[*]CC1([*])CCC(C)CC1,known
165,R1000045,[*]CC([*])(C)CCC,known
166,R1000046,[*]C=CCCC[*],known
172,R1000047,[*]C=CCC[*],known
186,R1000048,[*]C([*])C,known
189,R1000049,[*]C=C[*],known
196,R1000050,[*]CCC(C)C([*])C,known
199,R1000051,[*]CCC1CCCC1[*],known
200,R1000052,[*]C=CCCCCCCCC[*],known
202,R1000053,[*]CC([*])CCCCCCCCCCCCCCCCCCCC,known
203,R1000054,[*]C=CCCCCCCCCCC[*],known
206,R1000055,[*]CC([*])CCCCCCCCCCCCCC,known
208,R1000056,[*]C=CCCCCCC[*],known
213,R1000057,[*]CC([*])C(C)(C)C,known
214,R1000058,[*]C=CCCCC[*],known
217,R1000059,[*]CC([*])CCCCCCCCCCCCC,known
218,R1000060,[*]C([*])CC,known
219,R1000061,[*]CC([*])CCCCCCCCCCC,known
221,R1000062,[*]CC([*])CCCCCCCCC,known
224,R1000063,[*]CC([*])C1CCCC(C)C1,known
226,R1000064,[*]CC([*])C1CCC(C)CC1,known
228,R1000065,[*]CC([*])C1CC=CCC1,known
229,R1000066,[*]CCC=C([*])CCCCCCC,known
232,R1000067,[*]CCC=C([*])C(C)C,known
235,R1000068,[*]CC([*])CCC(C)(C)C,known
236,R1000069,[*]C1CCC1[*],known
238,R1000070,[*]C=CCCCCC[*],known
240,R1000071,[*]C=CC1CCC([*])C1,known
248,R1000072,[*]C=CC(C[*])C(C)CC,known
249,R1000073,[*]CCC=C([*])CCC,known
250,R1000074,[*]CC1([*])CCCCC1,known
252,R1000075,[*]C=CC(C)CCCCC[*],known
253,R1000076,[*]CC/C=C([*])\C(C)(C)C,known
255,R1000077,[*]CC([*])c1ccccc1,known
277,R1000078,[*]CC([*])c1ccccc1C,known
281,R1000079,[*]CC([*])c1ccccc1CC,known
283,R1000080,[*]CC([*])c1ccccc1COC,known
284,R1000081,[*]CC([*])c1ccccc1COCC,known
285,R1000082,[*]CC([*])c1ccccc1COCCC,known
286,R1000083,[*]CC([*])c1ccccc1COC(C)C,known
287,R1000084,[*]CC([*])c1ccccc1COCCCC,known
288,R1000085,[*]CC([*])c1ccccc1COCCCCC,known
289,R1000086,[*]CC([*])c1ccccc1COCCC(C)C,known
290,R1000087,[*]CC([*])c1ccccc1COCc1ccccc1,known
291,R1000088,[*]CC([*])c1ccccc1COCCc1ccccc1,known
292,R1000089,[*]CC([*])c1ccccc1C(=O)NC,known
293,R1000090,[*]CC([*])c1ccccc1C(=O)N(C)C,known
294,R1000091,[*]CC([*])c1ccccc1C(=O)Nc1ccccc1,known
295,R1000092,[*]CC([*])c1ccccc1C(=O)O,known
296,R1000093,[*]CC([*])c1ccccc1C(=O)OC,known
298,R1000094,[*]CC([*])c1ccccc1C(=O)OCC,known
299,R1000095,[*]CC([*])c1ccccc1C(=O)OCCC,known
300,R1000096,[*]CC([*])c1ccccc1C(=O)OC(C)C,known
301,R1000097,[*]CC([*])c1ccccc1C(=O)OCCCC,known
302,R1000098,[*]CC([*])c1ccccc1C(=O)OCC(C)C,known
303,R1000099,[*]CC([*])c1ccccc1C(=O)OCCCCC,known
304,R1000100,[*]CC([*])c1ccccc1C(=O)OCCC(C)C,known
305,R1000101,[*]CC([*])c1ccccc1C(=O)OCCCCCC,known
306,R1000102,[*]CC([*])c1ccccc1C(=O)Oc1ccccc1,known
308,R1000103,[*]CC([*])c1ccccc1C(=O)OCCN(C)C,known
309,R1000104,[*]CC([*])c1ccc(C(=O)OCCN(C)C)cc1,known
310,R1000105,[*]CC([*])c1ccccc1OC,known
312,R1000106,[*]CC([*])c1ccccc1Cl,known
317,R1000107,[*]CC([*])c1ccccc1F,known
318,R1000108,[*]CC([*])c1cccc(C)c1,known
325,R1000109,[*]CC([*])c1cccc(CC)c1,known
326,R1000110,[*]CC([*])c1cccc(-c2ccc(-c3ccccc3)cc2)c1,known
327,R1000111,[*]CC([*])c1cccc(Cl)c1,known
334,R1000112,[*]CC([*])c1cccc(F)c1,known
336,R1000113,[*]CC([*])c1ccc(C)cc1,known
354,R1000114,[*]CC([*])c1ccc(CC)cc1,known
355,R1000115,[*]CC([*])c1ccc(C(C)C)cc1,known
359,R1000116,[*]CC([*])c1ccc(CCCC)cc1,known
360,R1000117,[*]CC([*])c1ccc(C(C)(C)C)cc1,known
370,R1000118,[*]CC([*])c1ccc(C(C)CC)cc1,known
371,R1000119,[*]CC([*])c1ccc(CCCCCC)cc1,known
373,R1000120,[*]CC([*])c1ccc(CCCCCCCC)cc1,known
374,R1000121,[*]CC([*])c1ccc(CCCCCCCCC)cc1,known
375,R1000122,[*]CC([*])c1ccc(CCCCCCCCCC)cc1,known
376,R1000123,[*]CC([*])c1ccc(CCCCCCCCCCCC)cc1,known
377,R1000124,[*]CC([*])c1ccc(CCCCCCCCCCCCCC)cc1,known
378,R1000125,[*]CC([*])c1ccc(CCCCCCCCCCCCCCCC)cc1,known
380,R1000126,[*]CC([*])c1ccc(CCCCCCCCCCCCCCCCCC)cc1,known
381,R1000127,[*]CC([*])c1ccc(-c2ccccc2)cc1,known
382,R1000128,[*]CC([*])c1ccc(COCCOCC)cc1,known
383,R1000129,[*]CC([*])c1ccc(C#N)cc1,known
384,R1000130,[*]CC([*])c1ccc(Cl)cc1,known
402,R1000131,[*]CC([*])c1ccc(Br)cc1,known
413,R1000132,[*]CC([*])c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,known
414,R1000133,[*]CC([*])c1ccc(C(C)=NO)cc1,known
415,R1000134,[*]CC([*])c1ccc(C(C)(C)O)cc1,known
416,R1000135,[*]CC([*])c1ccc(C(C)(O)CC)cc1,known
417,R1000136,[*]CC([*])c1ccc(C(C)(O)CCC)cc1,known
418,R1000137,[*]CC([*])c1ccc(C(C)(O)CCCC)cc1,known
419,R1000138,[*]CC([*])c1ccc(C(C)(O)CCCCC)cc1,known
420,R1000139,[*]CC([*])c1ccc(C(O)CCN(C)C)cc1,known
421,R1000140,[*]CC([*])c1ccc(C(O)CCN2CCCCC2)cc1,known
422,R1000141,[*]CC([*])c1ccc(C(O)CCN2CCOCC2)cc1,known
424,R1000142,[*]CC([*])c1ccc(COC)cc1,known
425,R1000143,[*]CC([*])c1ccc(COCCO)cc1,known
426,R1000144,[*]CC([*])c1ccc(COCCC)cc1,known
427,R1000145,[*]CC([*])c1ccc(COCCCC)cc1,known
428,R1000146,[*]CC([*])c1ccc(COCCCCO)cc1,known
429,R1000147,[*]CC([*])c1ccc(COC(C)CC)cc1,known
430,R1000148,[*]CC([*])c1ccc(COCCCCCC)cc1,known
431,R1000149,[*]CC([*])c1ccc(COCCOCCCC)cc1,known
432,R1000150,[*]CC([*])c1ccc(C(=O)N(C)C)cc1,known
433,R1000151,[*]CC([*])c1ccc(C(=O)N(CC)CC)cc1,known
434,R1000152,[*]CC([*])c1ccc(C(=O)N2CCCCC2)cc1,known
